Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Klauss,9,br BRA,FW,25-361,87,29,26,3,0,0,0,0,1,0,0,0,0,20,0,0
1,Joshua Yaro,15,gh GHA,FW,28-099,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jared Stroud,8,us USA,LW,26-230,80,26,26,0,0,0,0,4,0,0,0,0,0,16,0,1
1,Celio Pompeu,12,br BRA,LW,23-077,10,6,6,0,0,1,0,0,0,0,0,0,0,3,0,0
1,Rasmus Alm,21,se SWE,RW,27-192,58,16,16,0,0,0,0,1,0,0,0,0,0,7,0,0
1,Nicholas Gioacchini,11,us USA,RW,22-215,32,16,16,0,0,0,0,0,0,0,0,0,0,9,0,3
1,Tomas Ostrak,7,cz CZE,AM,23-020,59,16,15,1,0,0,0,0,0,0,0,0,0,12,0,0
1,Miguel Perez,28,us USA,AM,17-303,31,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
1,Eduard Lowen,10,de GER,DM,26-028,90,52,43,9,1,0,0,8,0,8,4,4,0,37,0,1
1,Indiana Vassilev,19,us USA,DM,22-009,16,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1
1,Njabulo Blom,6,za RSA,DM,23-076,74,33,33,0,0,0,0,0,0,0,0,0,0,31,0,0
1,John Nelson,14,us USA,LB,24-229,90,41,30,11,0,0,0,2,11,0,0,0,0,35,0,0
1,Kyle Hiebert,22,ca CAN,CB,25-210,90,31,31,0,0,0,0,0,0,0,0,0,0,26,0,0
1,Tim Parker,26,us USA,CB,30-002,90,35,33,2,2,0,1,0,0,0,0,0,0,30,0,0
1,Jake Nerwinski,2,us USA,RB,28-131,90,35,27,8,1,0,0,1,7,0,0,0,0,26,0,1
1,Roman Burki,1,ch SUI,GK,32-103,90,32,21,11,2,0,0,0,0,0,0,0,0,20,0,0
