Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP
1,Klauss,9,br BRA,FW,25-361,87,20,29,69,268,29,10,14,71.4,9,13,69.2,0,0,0,0,0,0,0,0,1,0,3
1,Joshua Yaro,15,gh GHA,FW,28-099,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Jared Stroud,8,us USA,LW,26-230,80,16,26,61.5,277,105,7,9,77.8,6,10,60,3,5,60,0,0.3,0.3,3,3,3,2,1
1,Celio Pompeu,12,br BRA,LW,23-077,10,3,6,50,45,7,2,3,66.7,1,2,50,0,1,0,0,0.1,0.1,1,0,0,0,1
1,Rasmus Alm,21,se SWE,RW,27-192,58,7,16,43.8,95,17,4,10,40,2,4,50,1,2,50,0,0,0,0,1,0,0,0
1,Nicholas Gioacchini,11,us USA,RW,22-215,32,9,16,56.3,88,33,5,7,71.4,1,3,33.3,0,0,0,1,0.3,0,2,1,0,0,1
1,Tomas Ostrak,7,cz CZE,AM,23-020,59,12,16,75,164,30,7,8,87.5,3,4,75,1,1,100,0,0,0,0,1,1,0,2
1,Miguel Perez,28,us USA,AM,17-303,31,8,10,80,109,72,4,5,80,4,4,100,0,0,0,0,0.2,0.1,1,0,1,0,3
1,Eduard Lowen,10,de GER,DM,26-028,90,37,52,71.2,710,346,13,18,72.2,19,19,100,5,12,41.7,1,0.3,0.3,3,7,0,0,11
1,Indiana Vassilev,19,us USA,DM,22-009,16,1,4,25,23,12,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0
1,Njabulo Blom,6,za RSA,DM,23-076,74,31,33,93.9,412,142,20,20,100,4,5,80,3,3,100,0,0,0,2,7,0,0,2
1,John Nelson,14,us USA,LB,24-229,90,35,41,85.4,502,214,17,19,89.5,16,17,94.1,1,4,25,0,0,0,0,0,0,0,2
1,Kyle Hiebert,22,ca CAN,CB,25-210,90,26,31,83.9,482,139,9,9,100,16,17,94.1,1,5,20,0,0,0,0,1,0,0,2
1,Tim Parker,26,us USA,CB,30-002,90,30,35,85.7,668,272,4,4,100,21,23,91.3,4,7,57.1,0,0,0,0,1,0,0,2
1,Jake Nerwinski,2,us USA,RB,28-131,90,26,35,74.3,443,147,11,11,100,15,21,71.4,0,2,0,0,0,0,0,2,1,1,0
1,Roman Burki,1,ch SUI,GK,32-103,90,20,32,62.5,954,925,0,0,0,5,5,100,15,27,55.6,0,0,0,0,2,0,0,0
