Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR
1,Klauss,9,br BRA,FW,25-361,87,36,1,3,13,21,3,36,2,1,50,1,50,9,60,36,1,1,1,1,0,28,7
1,Joshua Yaro,15,gh GHA,FW,28-099,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jared Stroud,8,us USA,LW,26-230,80,41,0,9,21,11,3,41,1,0,0,1,100,21,81,35,1,1,0,3,1,28,6
1,Celio Pompeu,12,br BRA,LW,23-077,10,10,0,3,2,5,2,10,3,2,66.7,1,33.3,6,90,78,3,1,2,0,0,5,1
1,Rasmus Alm,21,se SWE,RW,27-192,58,24,0,2,8,14,3,24,2,0,0,2,100,10,53,12,0,0,0,2,1,18,5
1,Nicholas Gioacchini,11,us USA,RW,22-215,32,20,0,3,10,7,1,20,1,0,0,0,0,6,39,9,1,1,0,2,0,15,1
1,Tomas Ostrak,7,cz CZE,AM,23-020,59,23,0,0,15,8,1,23,2,2,100,0,0,9,47,23,1,0,0,3,0,13,1
1,Miguel Perez,28,us USA,AM,17-303,31,17,1,6,8,3,1,17,1,0,0,1,100,3,6,5,0,0,0,0,0,6,0
1,Eduard Lowen,10,de GER,DM,26-028,90,69,1,7,36,27,3,69,4,2,50,2,50,29,135,74,0,2,0,5,1,42,5
1,Indiana Vassilev,19,us USA,DM,22-009,16,5,0,3,2,0,0,5,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0
1,Njabulo Blom,6,za RSA,DM,23-076,74,41,2,8,25,8,0,41,2,0,0,0,0,8,21,1,0,0,0,2,0,15,1
1,John Nelson,14,us USA,LB,24-229,90,55,4,22,19,16,1,55,5,5,100,0,0,12,56,25,0,0,0,1,0,18,2
1,Kyle Hiebert,22,ca CAN,CB,25-210,90,41,6,22,16,3,2,41,1,1,100,0,0,17,89,24,0,0,0,0,1,28,0
1,Tim Parker,26,us USA,CB,30-002,90,48,8,23,24,1,1,48,0,0,0,0,0,15,56,13,0,0,0,0,0,28,0
1,Jake Nerwinski,2,us USA,RB,28-131,90,44,4,15,21,8,0,44,1,1,100,0,0,15,78,31,1,0,0,2,0,19,1
1,Roman Burki,1,ch SUI,GK,32-103,90,33,23,33,0,0,0,33,0,0,0,0,0,16,95,43,0,0,0,1,0,15,0
