Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP
24,Nicholas Gioacchini,11,us USA,FW,23-026,80,8,11,72.7,134,49,3,3,100,3,6,50,1,1,100,0,0.2,0.1,2,2,1,0,3
24,Celio Pompeu,12,br BRA,LM,23-253,10,6,8,75,78,30,5,5,100,1,3,33.3,0,0,0,0,0,0,0,0,1,0,1
24,Aziel Jackson,25,fr FRA,"FW,RM",21-300,86,19,24,79.2,283,117,9,10,90,6,7,85.7,2,3,66.7,0,0,0.1,1,3,1,0,3
24,Tomas Ostrak,7,cz CZE,RM,23-196,4,5,5,100,65,5,3,3,100,2,2,100,0,0,0,0,0,0.1,0,0,0,0,0
24,Jared Stroud,8,us USA,LM,27-041,80,15,22,68.2,282,63,8,12,66.7,5,5,100,2,4,50,0,0,0,0,0,0,0,0
24,Nokkvi Thorisson,29,is ISL,FW,24-007,10,4,4,100,64,0,2,2,100,2,2,100,0,0,0,0,0,0,0,0,0,0,0
24,Eduard Lowen,10,de GER,CM,26-204,90,49,65,75.4,770,322,27,32,84.4,20,24,83.3,1,6,16.7,3,0.3,0.2,5,5,3,0,9
24,Njabulo Blom,6,za RSA,CM,23-252,64,16,22,72.7,244,68,11,16,68.8,4,4,100,1,2,50,0,0,0,0,3,0,0,0
24,Indiana Vassilev,19,us USA,CM,22-185,26,11,13,84.6,162,17,7,7,100,4,4,100,0,2,0,0,0,0,0,0,0,0,0
24,Rasmus Alm,21,se SWE,RM,28-003,64,14,18,77.8,229,98,6,9,66.7,8,9,88.9,0,0,0,0,0.7,0.5,1,1,1,0,2
24,Samuel Adeniran,16,us USA,"FW,RM",24-324,26,3,5,60,97,43,0,1,0,1,1,100,2,3,66.7,0,0,0,0,1,0,0,1
24,Kyle Hiebert,22,ca CAN,LB,26-021,90,25,33,75.8,488,204,9,11,81.8,13,16,81.3,3,6,50,0,0,0,1,3,0,0,1
24,Tim Parker,26,us USA,CB,30-178,90,26,28,92.9,500,237,6,6,100,19,21,90.5,1,1,100,0,0,0,0,0,0,0,1
24,Joshua Yaro,15,gh GHA,CB,28-275,90,32,39,82.1,632,302,9,10,90,20,23,87,3,5,60,0,0,0,0,3,0,0,2
24,Akil Watts,20,us USA,RB,23-197,86,25,37,67.6,395,169,13,14,92.9,11,15,73.3,1,6,16.7,0,0,0,1,4,0,0,3
24,Joakim Nilsson,4,se SWE,RB,29-195,4,1,1,100,20,17,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,0
24,Roman Burki,1,ch SUI,GK,32-279,90,16,31,51.6,545,453,1,1,100,8,8,100,7,21,33.3,0,0,0,1,1,0,0,0
