Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
24,Nicholas Gioacchini,11,us USA,FW,23-026,80,21,1,1,9,11,5,21,5,2,40,3,60,12,76,35,1,0,1,1,0,15,5
24,Celio Pompeu,12,br BRA,LM,23-253,10,11,1,3,2,6,0,11,1,0,0,1,100,5,43,33,2,0,0,1,0,5,0
24,Aziel Jackson,25,fr FRA,"FW,RM",21-300,86,35,1,8,10,17,3,35,1,0,0,0,0,23,173,95,4,2,3,1,0,23,4
24,Tomas Ostrak,7,cz CZE,RM,23-196,4,6,0,1,1,5,2,6,1,1,100,0,0,4,26,6,0,1,0,0,0,4,2
24,Jared Stroud,8,us USA,LM,27-041,80,26,0,7,14,6,0,26,0,0,0,0,0,15,108,38,0,0,0,2,0,14,2
24,Nokkvi Thorisson,29,is ISL,FW,24-007,10,10,0,0,7,3,1,10,1,0,0,0,0,5,27,19,1,1,0,0,0,4,1
24,Eduard Lowen,10,de GER,CM,26-204,90,75,4,25,21,29,1,75,6,4,66.7,2,33.3,39,231,88,4,3,1,0,1,48,2
24,Njabulo Blom,6,za RSA,CM,23-252,64,28,1,6,18,5,0,28,1,0,0,1,100,16,62,36,1,1,0,0,2,22,0
24,Indiana Vassilev,19,us USA,CM,22-185,26,15,1,2,8,5,0,15,1,0,0,1,100,13,96,7,0,3,0,1,0,12,0
24,Rasmus Alm,21,se SWE,RM,28-003,64,22,0,4,10,9,1,22,2,1,50,0,0,12,68,36,2,2,1,1,0,16,6
24,Samuel Adeniran,16,us USA,"FW,RM",24-324,26,12,2,2,4,6,3,12,1,0,0,1,100,6,52,47,2,1,1,0,0,6,1
24,Kyle Hiebert,22,ca CAN,LB,26-021,90,41,5,27,12,2,0,41,0,0,0,0,0,19,43,18,0,0,0,0,0,21,0
24,Tim Parker,26,us USA,CB,30-178,90,39,9,24,14,1,1,39,1,0,0,1,100,21,105,38,0,0,0,0,1,25,0
24,Joshua Yaro,15,gh GHA,CB,28-275,90,48,6,27,19,2,0,48,0,0,0,0,0,22,115,60,1,0,0,0,0,24,0
24,Akil Watts,20,us USA,RB,23-197,86,52,8,22,16,14,1,52,0,0,0,0,0,19,71,48,1,1,0,3,0,18,3
24,Joakim Nilsson,4,se SWE,RB,29-195,4,3,1,3,0,0,0,3,0,0,0,0,0,1,9,4,0,0,0,0,0,1,0
24,Roman Burki,1,ch SUI,GK,32-279,90,35,26,34,1,0,0,35,0,0,0,0,0,22,101,51,0,0,0,0,0,14,0
