Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP
2,Klauss,9,br BRA,FW,26-003,87,16,25,64,194,22,12,17,70.6,4,6,66.7,0,1,0,0,0,0,0,1,0,0,1
2,Miguel Perez,28,us USA,FW,17-310,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nicholas Gioacchini,11,us USA,FW,22-222,73,21,25,84,295,72,14,17,82.4,5,6,83.3,2,2,100,0,0.1,0.2,2,1,0,0,2
2,Samuel Adeniran,16,us USA,FW,24-155,17,1,4,25,6,4,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Jared Stroud,8,us USA,LM,26-237,64,26,30,86.7,420,151,13,14,92.9,10,10,100,2,2,100,0,0,0.1,0,3,0,0,5
2,Rasmus Alm,21,se SWE,LM,27-199,26,6,8,75,148,69,2,2,100,2,3,66.7,2,2,100,0,0.1,0,1,0,3,1,2
2,Eduard Lowen,10,de GER,CM,26-035,90,28,46,60.9,588,263,11,15,73.3,11,17,64.7,6,11,54.5,0,0.2,0.2,1,5,0,0,6
2,Njabulo Blom,6,za RSA,CM,23-083,90,22,28,78.6,337,137,15,17,88.2,5,9,55.6,2,2,100,0,0,0,0,2,0,0,3
2,Tomas Ostrak,7,cz CZE,RM,23-027,73,15,22,68.2,282,82,7,10,70,6,8,75,2,3,66.7,0,0.1,0,1,2,1,0,4
2,Indiana Vassilev,19,us USA,RM,22-016,17,4,5,80,67,32,3,3,100,0,0,,1,1,100,0,0,0,0,1,0,0,1
2,John Nelson,14,us USA,LB,24-236,90,28,41,68.3,587,344,11,14,78.6,10,14,71.4,7,11,63.6,0,0.1,0.1,1,3,1,0,3
2,Kyle Hiebert,22,ca CAN,CB,25-217,90,17,32,53.1,314,68,6,9,66.7,9,15,60,2,8,25,0,0,0,0,0,0,0,1
2,Tim Parker,26,us USA,CB,30-009,90,15,26,57.7,329,190,2,2,100,11,17,64.7,2,7,28.6,0,0,0,0,1,0,0,1
2,Jake Nerwinski,2,us USA,RB,28-138,90,18,32,56.3,378,198,3,4,75,10,14,71.4,4,12,33.3,0,0,0,0,1,0,0,5
2,Roman Burki,1,ch SUI,GK,32-110,90,17,32,53.1,653,516,2,2,100,4,4,100,11,25,44,0,0,0,0,0,0,0,0
