Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
2,Klauss,9,br BRA,FW,26-003,87,0,0,0,0,0,0,2,0,2,2,0,2,0,0,1,0
2,Miguel Perez,28,us USA,FW,17-310,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,Nicholas Gioacchini,11,us USA,FW,22-222,73,2,2,0,0,2,0,0,0,0,1,0,1,2,4,0,0
2,Samuel Adeniran,16,us USA,FW,24-155,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jared Stroud,8,us USA,LM,26-237,64,4,3,1,2,1,2,5,40,3,1,0,1,0,4,0,0
2,Rasmus Alm,21,se SWE,LM,27-199,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2,Eduard Lowen,10,de GER,CM,26-035,90,6,4,2,3,1,2,7,28.6,5,2,1,1,1,7,0,0
2,Njabulo Blom,6,za RSA,CM,23-083,90,2,2,0,2,0,0,0,0,0,4,0,4,2,4,1,0
2,Tomas Ostrak,7,cz CZE,RM,23-027,73,5,3,2,1,2,3,3,100,0,1,0,1,0,5,0,0
2,Indiana Vassilev,19,us USA,RM,22-016,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,John Nelson,14,us USA,LB,24-236,90,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0
2,Kyle Hiebert,22,ca CAN,CB,25-217,90,1,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0
2,Tim Parker,26,us USA,CB,30-009,90,2,1,1,0,1,2,3,66.7,1,0,0,0,6,8,4,0
2,Jake Nerwinski,2,us USA,RB,28-138,90,1,0,1,0,0,1,2,50,1,0,0,0,0,1,0,0
2,Roman Burki,1,ch SUI,GK,32-110,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
