Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
2,Klauss,9,br BRA,FW,26-003,87,25,23,2,0,0,0,0,0,0,0,0,0,16,0,1
2,Miguel Perez,28,us USA,FW,17-310,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nicholas Gioacchini,11,us USA,FW,22-222,73,25,24,1,0,0,1,1,1,0,0,0,0,21,0,0
2,Samuel Adeniran,16,us USA,FW,24-155,17,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Jared Stroud,8,us USA,LM,26-237,64,30,27,2,0,0,0,2,1,1,0,0,0,26,1,1
2,Rasmus Alm,21,se SWE,LM,27-199,26,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
2,Eduard Lowen,10,de GER,CM,26-035,90,46,38,8,5,0,1,7,0,3,2,0,0,28,0,2
2,Njabulo Blom,6,za RSA,CM,23-083,90,28,28,0,0,0,0,0,0,0,0,0,0,22,0,0
2,Tomas Ostrak,7,cz CZE,RM,23-027,73,22,22,0,0,0,0,1,0,0,0,0,0,15,0,0
2,Indiana Vassilev,19,us USA,RM,22-016,17,5,5,0,0,0,0,1,0,0,0,0,0,4,0,1
2,John Nelson,14,us USA,LB,24-236,90,41,29,12,0,0,1,1,12,0,0,0,0,28,0,1
2,Kyle Hiebert,22,ca CAN,CB,25-217,90,32,30,2,2,0,0,0,0,0,0,0,0,17,0,0
2,Tim Parker,26,us USA,CB,30-009,90,26,24,2,2,0,1,0,0,0,0,0,0,15,0,0
2,Jake Nerwinski,2,us USA,RB,28-138,90,32,25,7,1,0,0,3,6,0,0,0,0,18,0,1
2,Roman Burki,1,ch SUI,GK,32-110,90,32,20,11,4,0,0,0,0,0,0,0,0,17,1,0
