Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
11,Nicholas Gioacchini,11,us USA,FW,22-292,90,25,21,4,0,0,0,0,2,0,0,0,0,13,0,2
11,Celio Pompeu,12,br BRA,LW,23-154,90,20,19,1,1,0,0,3,0,0,0,0,0,15,0,0
11,Tomas Ostrak,7,cz CZE,RW,23-097,63,14,14,0,0,0,0,2,0,0,0,0,0,9,0,0
11,Isak Jensen,30,dk DEN,RW,19-141,27,8,7,1,0,1,0,0,1,0,0,0,0,4,0,1
11,Indiana Vassilev,19,us USA,AM,22-086,90,32,28,4,3,0,1,5,0,1,0,1,0,18,0,3
11,Eduard Lowen,10,de GER,DM,26-105,76,47,41,6,4,0,2,3,1,1,1,0,0,35,0,2
11,Caden Glover,46,us USA,DM,16-066,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Miguel Perez,28,us USA,DM,18-015,45,28,28,0,0,0,1,0,0,0,0,0,0,21,0,0
11,Njabulo Blom,6,za RSA,DM,23-153,45,23,21,2,0,0,1,0,2,0,0,0,0,19,0,1
11,John Nelson,14,us USA,LB,24-306,69,42,36,6,0,0,0,1,6,0,0,0,0,34,0,1
11,Kyle Hiebert,22,ca CAN,CB,25-287,90,62,57,5,1,0,0,1,4,0,0,0,0,49,0,1
11,Lucas Bartlett,24,us USA,CB,25-291,76,50,49,1,1,0,1,0,0,0,0,0,0,41,0,0
11,Joshua Yaro,15,gh GHA,CB,28-176,14,11,10,1,1,0,0,0,0,0,0,0,0,9,0,0
11,Jake Nerwinski,2,us USA,RB,28-208,64,42,30,12,1,0,0,4,11,0,0,0,0,28,0,0
11,Jared Stroud,8,us USA,RB,26-307,26,17,14,3,0,0,0,4,2,1,0,1,0,10,0,3
11,Roman Burki,1,ch SUI,GK,32-180,90,40,31,9,3,0,0,0,0,0,0,0,0,24,0,0
