Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
11,Nicholas Gioacchini,11,us USA,FW,22-292,90,13,25,52,146,28,8,15,53.3,3,4,75,0,0,0,0,0,0,0,0,1,0,2
11,Celio Pompeu,12,br BRA,LW,23-154,90,15,20,75,226,46,9,10,90,4,6,66.7,1,3,33.3,0,0,0,1,2,0,0,2
11,Tomas Ostrak,7,cz CZE,RW,23-097,63,9,14,64.3,118,17,8,9,88.9,0,3,0,1,2,50,0,0,0,0,0,0,0,1
11,Isak Jensen,30,dk DEN,RW,19-141,27,4,8,50,47,11,4,5,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11,Indiana Vassilev,19,us USA,AM,22-086,90,18,32,56.3,248,26,10,12,83.3,8,11,72.7,0,6,0,0,0,0,0,2,1,0,2
11,Eduard Lowen,10,de GER,DM,26-105,76,35,47,74.5,730,253,19,19,100,8,13,61.5,8,12,66.7,0,0,0.1,1,9,0,0,7
11,Caden Glover,46,us USA,DM,16-066,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Miguel Perez,28,us USA,DM,18-015,45,21,28,75,427,98,9,13,69.2,9,10,90,3,4,75,0,0,0,0,4,0,0,4
11,Njabulo Blom,6,za RSA,DM,23-153,45,19,23,82.6,407,173,9,10,90,7,8,87.5,3,4,75,0,0,0,0,3,0,0,2
11,John Nelson,14,us USA,LB,24-306,69,34,42,81,591,196,17,19,89.5,13,17,76.5,4,4,100,0,0,0,0,3,0,0,2
11,Kyle Hiebert,22,ca CAN,CB,25-287,90,49,62,79,901,381,16,22,72.7,31,32,96.9,2,7,28.6,0,0,0,0,9,0,0,10
11,Lucas Bartlett,24,us USA,CB,25-291,76,41,50,82,745,290,11,15,73.3,27,29,93.1,2,5,40,0,0,0,1,3,0,0,4
11,Joshua Yaro,15,gh GHA,CB,28-176,14,9,11,81.8,201,101,1,1,100,7,7,100,1,2,50,0,0,0,0,1,0,0,1
11,Jake Nerwinski,2,us USA,RB,28-208,64,28,42,66.7,447,207,16,20,80,10,14,71.4,2,7,28.6,0,0,0,0,2,1,0,4
11,Jared Stroud,8,us USA,RB,26-307,26,10,17,58.8,202,61,2,4,50,6,8,75,2,3,66.7,0,0.1,0,2,0,0,0,1
11,Roman Burki,1,ch SUI,GK,32-180,90,24,40,60,636,450,4,4,100,11,12,91.7,9,24,37.5,0,0,0,0,2,0,0,0
