Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
8,Nicholas Gioacchini,11,us USA,FW,22-264,73,13,21,61.9,162,10,9,13,69.2,2,3,66.7,1,1,100,0,0,0,1,0,0,0,0
8,Tomas Ostrak,7,cz CZE,FW,23-069,17,5,5,100,106,32,3,3,100,1,1,100,1,1,100,0,0,0,0,1,0,0,1
8,Klauss,9,br BRA,FW,26-045,90,13,22,59.1,171,23,8,12,66.7,4,5,80,0,0,0,1,0.1,0,1,0,1,0,2
8,Jared Stroud,8,us USA,"LM,RM",26-279,81,23,29,79.3,324,92,13,14,92.9,6,9,66.7,1,2,50,1,0.1,0.1,1,1,1,1,2
8,Celio Pompeu,12,br BRA,RM,23-126,9,2,3,66.7,32,27,1,1,100,1,2,50,0,0,0,0,0.1,0.2,1,1,0,0,1
8,Eduard Lowen,10,de GER,CM,26-077,90,32,54,59.3,539,325,16,23,69.6,11,19,57.9,5,10,50,0,0,0.2,1,4,2,1,3
8,Indiana Vassilev,19,us USA,CM,22-058,74,17,22,77.3,260,106,9,9,100,7,8,87.5,1,4,25,0,0,0,1,2,1,0,3
8,Akil Watts,20,us USA,CM,23-070,16,7,10,70,68,9,7,8,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rasmus Alm,21,se SWE,RM,27-241,60,9,13,69.2,130,36,4,5,80,3,5,60,1,1,100,1,0.7,0.3,2,1,0,0,1
8,Isak Jensen,30,dk DEN,LM,19-113,30,10,13,76.9,98,22,5,5,100,2,2,100,0,1,0,0,0,0,0,0,0,0,0
8,John Nelson,14,us USA,LB,24-278,60,13,20,65,171,91,9,11,81.8,4,5,80,0,3,0,0,0.1,0.1,1,1,0,0,3
8,Selmir Pidro,17,ba BIH,LB,25-043,30,14,16,87.5,179,133,8,8,100,5,6,83.3,0,0,0,0,0.2,0.2,1,1,0,0,2
8,Kyle Hiebert,22,ca CAN,CB,25-259,90,20,32,62.5,375,148,7,9,77.8,12,15,80,1,7,14.3,0,0,0,0,0,0,0,0
8,Tim Parker,26,us USA,CB,30-051,90,15,19,78.9,250,59,5,5,100,8,8,100,1,5,20,0,0,0,0,0,0,0,0
8,Jake Nerwinski,2,us USA,RB,28-180,90,31,44,70.5,533,398,18,20,90,6,9,66.7,6,12,50,0,0,0,1,2,1,0,4
8,Roman Burki,1,ch SUI,GK,32-152,90,14,30,46.7,378,254,2,2,100,7,8,87.5,5,18,27.8,0,0,0,0,0,0,0,0
