Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
8,Nicholas Gioacchini,11,us USA,FW,22-264,73,2,1,2,0,0,0,0,0,0,2,0,2,1,3,0,0
8,Tomas Ostrak,7,cz CZE,FW,23-069,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Klauss,9,br BRA,FW,26-045,90,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0
8,Jared Stroud,8,us USA,"LM,RM",26-279,81,3,2,2,1,0,1,2,50,1,0,0,0,2,5,0,0
8,Célio Pompeu,12,br BRA,RM,23-126,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
8,Eduard Lowen,10,de GER,CM,26-077,90,7,5,4,3,0,0,1,0,1,1,0,1,3,10,1,0
8,Indiana Vassilev,19,us USA,CM,22-058,74,1,1,1,0,0,0,1,0,1,1,1,0,0,1,2,0
8,Akil Watts,20,us USA,CM,23-070,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rasmus Alm,21,se SWE,RM,27-241,60,2,1,1,0,1,1,3,33.3,2,3,0,3,2,4,0,0
8,Isak Jensen,30,dk DEN,LM,19-113,30,1,0,0,0,1,1,1,100,0,1,0,1,1,2,1,0
8,John Nelson,14,us USA,LB,24-278,60,0,0,0,0,0,0,1,0,1,1,0,1,1,1,4,0
8,Selmir Pidro,17,ba BIH,LB,25-043,30,3,1,1,1,1,1,1,100,0,0,0,0,0,3,0,0
8,Kyle Hiebert,22,ca CAN,CB,25-259,90,0,0,0,0,0,0,0,0,0,1,1,0,3,3,5,0
8,Tim Parker,26,us USA,CB,30-051,90,1,1,1,0,0,1,1,100,0,0,0,0,3,4,6,0
8,Jake Nerwinski,2,us USA,RB,28-180,90,3,2,2,1,0,1,2,50,1,2,1,1,2,5,1,0
8,Roman Burki,1,ch SUI,GK,32-152,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
