Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
8,Nicholas Gioacchini,11,us USA,FW,22-264,73,39,1,7,16,16,7,39,1,0,0,1,100,19,69,13,1,0,1,5,1,29,6
8,Tomas Ostrak,7,cz CZE,FW,23-069,17,7,1,2,4,2,0,7,1,1,100,0,0,4,75,0,0,1,0,2,0,5,1
8,Klauss,9,br BRA,FW,26-045,90,35,2,5,14,16,5,35,0,0,0,0,0,19,102,52,2,0,2,4,0,29,8
8,Jared Stroud,8,us USA,"LM,RM",26-279,81,40,1,13,20,9,2,40,1,0,0,1,100,21,163,56,2,1,1,2,0,18,1
8,Celio Pompeu,12,br BRA,RM,23-126,9,7,1,5,2,2,0,7,3,3,100,0,0,5,99,64,1,2,0,0,0,4,1
8,Eduard Lowen,10,de GER,CM,26-077,90,69,1,18,38,13,1,69,1,1,100,0,0,21,131,65,3,1,0,1,3,30,1
8,Indiana Vassilev,19,us USA,CM,22-058,74,30,2,9,17,4,0,30,1,1,100,0,0,17,95,19,0,0,0,4,2,19,0
8,Akil Watts,20,us USA,CM,23-070,16,10,0,6,4,0,0,10,0,0,0,0,0,2,6,6,0,0,0,0,0,5,0
8,Rasmus Alm,21,se SWE,RM,27-241,60,24,1,4,8,12,2,24,1,1,100,0,0,7,41,30,2,1,1,1,0,10,3
8,Isak Jensen,30,dk DEN,LM,19-113,30,20,1,4,11,5,0,20,2,0,0,2,100,11,80,56,2,1,0,1,0,12,0
8,John Nelson,14,us USA,LB,24-278,60,29,5,14,10,5,1,29,2,1,50,1,50,6,31,21,1,0,1,0,0,8,0
8,Selmir Pidro,17,ba BIH,LB,25-043,30,21,1,9,10,2,0,21,0,0,0,0,0,8,36,27,0,0,0,2,0,9,0
8,Kyle Hiebert,22,ca CAN,CB,25-259,90,42,9,31,10,1,1,42,0,0,0,0,0,13,57,23,0,0,0,1,0,15,0
8,Tim Parker,26,us USA,CB,30-051,90,34,8,24,8,2,0,34,0,0,0,0,0,7,22,5,0,0,0,1,0,11,0
8,Jake Nerwinski,2,us USA,RB,28-180,90,57,5,21,27,9,1,57,1,1,100,0,0,17,117,55,1,1,0,0,0,23,0
8,Roman Burki,1,ch SUI,GK,32-152,90,31,28,31,0,0,0,31,0,0,0,0,0,14,66,27,0,0,0,0,0,9,0
