Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
9,Nicholas Gioacchini,11,us USA,FW,22-271,90,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0
9,Klauss,9,br BRA,FW,26-052,60,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,Tomas Ostrak,7,cz CZE,FW,23-076,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jared Stroud,8,us USA,LM,26-286,60,3,1,0,2,1,1,2,50,1,0,0,0,0,3,1,0
9,Celio Pompeu,12,br BRA,LM,23-133,30,1,1,1,0,0,0,1,0,1,3,0,3,0,1,0,0
9,Eduard Lowen,10,de GER,CM,26-084,90,1,1,0,0,1,1,4,25,3,0,0,0,0,1,2,0
9,Akil Watts,20,us USA,CM,23-077,45,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
9,Indiana Vassilev,19,us USA,CM,22-065,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,Rasmus Alm,21,se SWE,RM,27-248,77,0,0,0,0,0,0,1,0,1,2,0,2,0,0,1,0
9,Miguel Perez,28,us USA,RM,17-359,13,1,1,1,0,0,1,1,100,0,1,0,1,0,1,0,0
9,John Nelson,14,us USA,LB,24-285,77,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
9,Selmir Pidro,17,ba BIH,LB,25-050,13,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
9,Kyle Hiebert,22,ca CAN,CB,25-266,90,3,2,3,0,0,2,2,100,0,1,0,1,0,3,5,0
9,Tim Parker,26,us USA,CB,30-058,90,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0
9,Jake Nerwinski,2,us USA,RB,28-187,90,1,0,0,1,0,1,2,50,1,0,0,0,0,1,1,0
9,Roman Burki,1,ch SUI,GK,32-159,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
