Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
9,Nicholas Gioacchini,11,us USA,FW,22-271,90,45,1,2,24,19,3,45,1,1,100,0,0,16,51,31,1,0,0,3,0,32,8
9,Klauss,9,br BRA,FW,26-052,60,20,0,1,14,6,1,20,0,0,0,0,0,7,62,36,1,1,0,1,0,13,2
9,Tomas Ostrak,7,cz CZE,FW,23-076,30,10,0,1,5,4,0,10,1,0,0,1,100,6,58,27,2,2,0,0,0,8,1
9,Jared Stroud,8,us USA,LM,26-286,60,27,1,2,13,12,1,27,0,0,0,0,0,11,66,18,1,0,0,0,1,17,5
9,Celio Pompeu,12,br BRA,LM,23-133,30,14,1,4,7,4,1,14,3,1,33.3,2,66.7,6,36,12,0,0,0,0,0,4,0
9,Eduard Lowen,10,de GER,CM,26-084,90,64,1,11,35,19,1,64,3,2,66.7,1,33.3,25,123,80,2,2,0,1,2,45,2
9,Akil Watts,20,us USA,CM,23-077,45,22,0,5,14,3,0,22,0,0,0,0,0,8,49,23,0,0,0,0,0,19,1
9,Indiana Vassilev,19,us USA,CM,22-065,45,19,0,5,11,4,0,19,0,0,0,0,0,11,47,19,1,1,0,0,0,11,0
9,Rasmus Alm,21,se SWE,RM,27-248,77,24,2,4,5,16,3,24,0,0,0,0,0,14,51,33,2,1,1,2,0,19,3
9,Miguel Perez,28,us USA,RM,17-359,13,9,0,3,4,2,0,9,0,0,0,0,0,2,4,0,0,0,0,1,0,2,0
9,John Nelson,14,us USA,LB,24-285,77,53,0,8,34,11,0,53,0,0,0,0,0,14,24,10,0,1,0,0,1,29,1
9,Selmir Pidro,17,ba BIH,LB,25-050,13,5,1,4,1,0,0,5,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0
9,Kyle Hiebert,22,ca CAN,CB,25-266,90,53,9,34,19,0,0,53,0,0,0,0,0,14,37,18,0,0,0,0,0,29,0
9,Tim Parker,26,us USA,CB,30-058,90,41,10,27,13,1,1,41,0,0,0,0,0,14,51,39,0,0,0,1,0,18,0
9,Jake Nerwinski,2,us USA,RB,28-187,90,48,0,19,22,9,0,48,1,0,0,0,0,16,74,48,1,1,0,0,0,26,3
9,Roman Burki,1,ch SUI,GK,32-159,90,42,39,41,1,0,0,42,0,0,0,0,0,21,117,81,0,0,0,0,0,11,0
