Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
20,Samuel Adeniran,16,us USA,FW,24-274,76,5,9,55.6,74,34,1,5,20,3,3,100,0,0,0,1,0.8,0.2,3,0,1,0,2
20,Celio Pompeu,12,br BRA,FW,23-203,14,3,4,75,58,21,0,1,0,3,3,100,0,0,0,0,0.1,0.1,1,0,0,0,1
20,Nicholas Gioacchini,11,us USA,FW,22-341,90,16,25,64,197,37,10,17,58.8,5,5,100,0,0,0,0,0,0,0,2,1,0,1
20,Aziel Jackson,25,fr FRA,"AM,CM",21-250,86,15,25,60,240,73,5,7,71.4,4,6,66.7,3,7,42.9,1,0.5,0.4,3,1,1,1,1
20,Miguel Perez,28,us USA,CM,18-064,4,2,4,50,46,33,1,2,50,0,1,0,1,1,100,0,0,0,0,1,0,0,1
20,Jared Stroud,8,us USA,LM,26-356,76,11,20,55,192,66,2,2,100,7,13,53.8,0,2,0,0,0,0,1,1,1,0,2
20,Jake Nerwinski,2,us USA,RB,28-257,14,4,6,66.7,76,70,1,1,100,3,4,75,0,0,0,0,0,0,0,0,1,1,0
20,Njabulo Blom,6,za RSA,CM,23-202,66,18,23,78.3,313,126,6,8,75,8,9,88.9,2,3,66.7,0,0,0,0,3,0,0,1
20,Rasmus Alm,21,se SWE,CM,27-318,24,5,5,100,66,19,1,1,100,3,3,100,0,0,0,0,0.2,0.1,2,1,0,0,1
20,Indiana Vassilev,19,us USA,"RM,CM",22-135,90,20,27,74.1,258,66,11,12,91.7,6,7,85.7,1,4,25,0,0,0.1,0,1,0,0,2
20,Kyle Hiebert,22,ca CAN,LB,25-336,90,32,49,65.3,577,220,11,13,84.6,16,21,76.2,4,11,36.4,0,0.1,0,2,3,0,0,4
20,Tim Parker,26,us USA,CB,30-128,90,42,49,85.7,829,275,10,11,90.9,29,33,87.9,3,5,60,0,0,0,0,1,0,0,1
20,Joshua Yaro,15,gh GHA,CB,28-225,90,42,48,87.5,803,284,9,9,100,30,31,96.8,3,5,60,0,0,0,0,3,0,0,3
20,Akil Watts,20,us USA,RB,23-147,66,35,45,77.8,474,111,13,17,76.5,15,19,78.9,0,2,0,0,0.3,0.2,2,1,2,1,2
20,Lucas Bartlett,24,us USA,"CB,RB",25-340,24,4,6,66.7,47,28,2,2,100,1,1,100,0,2,0,0,0,0,0,0,0,0,0
20,Roman Burki,1,ch SUI,GK,32-229,90,26,40,65,766,627,6,6,100,11,11,100,9,23,39.1,0,0,0,0,1,0,0,0
