Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
20,Samuel Adeniran,16,us USA,FW,24-274,76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,Celio Pompeu,12,br BRA,FW,23-203,14,1,1,0,1,0,1,2,50,1,1,0,1,0,1,0,0
20,Nicholas Gioacchini,11,us USA,FW,22-341,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20,Aziel Jackson,25,fr FRA,"AM,CM",21-250,86,4,2,0,4,0,3,7,42.9,4,4,0,4,0,4,0,0
20,Miguel Perez,28,us USA,CM,18-064,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Jared Stroud,8,us USA,LM,26-356,76,1,1,0,1,0,0,2,0,2,1,0,1,0,1,1,0
20,Jake Nerwinski,2,us USA,RB,28-257,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,Njabulo Blom,6,za RSA,CM,23-202,66,1,0,0,1,0,1,1,100,0,0,0,0,3,4,0,0
20,Rasmus Alm,21,se SWE,CM,27-318,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Indiana Vassilev,19,us USA,"RM,CM",22-135,90,1,0,0,1,0,1,3,33.3,2,2,1,1,0,1,1,0
20,Kyle Hiebert,22,ca CAN,LB,25-336,90,2,0,1,1,0,1,2,50,1,2,0,2,0,2,2,0
20,Tim Parker,26,us USA,CB,30-128,90,0,0,0,0,0,0,1,0,1,0,0,0,2,2,11,0
20,Joshua Yaro,15,gh GHA,CB,28-225,90,1,1,1,0,0,1,1,100,0,1,0,1,3,4,3,0
20,Akil Watts,20,us USA,RB,23-147,66,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0
20,Lucas Bartlett,24,us USA,"CB,RB",25-340,24,1,0,0,1,0,1,1,100,0,1,0,1,1,2,1,0
20,Roman Burki,1,ch SUI,GK,32-229,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
