Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
20,Samuel Adeniran,16,us USA,FW,24-274,76,23,0,1,9,14,7,23,1,1,100,0,0,11,82,54,2,1,2,5,0,15,2
20,Celio Pompeu,12,br BRA,FW,23-203,14,8,0,0,6,2,2,8,1,0,0,1,100,4,7,0,0,0,0,0,0,4,0
20,Nicholas Gioacchini,11,us USA,FW,22-341,90,35,0,3,9,24,7,35,3,1,33.3,2,66.7,17,124,72,2,3,0,0,0,25,8
20,Aziel Jackson,25,fr FRA,"AM,CM",21-250,86,44,0,4,21,20,3,44,4,3,75,1,25,25,154,65,4,0,2,6,1,21,3
20,Miguel Perez,28,us USA,CM,18-064,4,4,0,2,1,1,0,4,0,0,0,0,0,1,25,19,1,0,0,0,0,1,0
20,Jared Stroud,8,us USA,LM,26-356,76,28,3,7,11,10,1,28,0,0,0,0,0,17,98,56,0,2,0,2,0,17,2
20,Jake Nerwinski,2,us USA,RB,28-257,14,7,1,4,2,1,0,7,0,0,0,0,0,5,22,7,1,0,0,0,0,2,1
20,Njabulo Blom,6,za RSA,CM,23-202,66,29,2,8,20,3,0,29,0,0,0,0,0,15,102,48,1,0,0,0,0,15,0
20,Rasmus Alm,21,se SWE,CM,27-318,24,8,0,0,3,6,3,8,1,1,100,0,0,7,32,11,1,1,0,0,0,6,2
20,Indiana Vassilev,19,us USA,"RM,CM",22-135,90,35,2,5,14,16,3,35,0,0,0,0,0,16,168,78,3,1,2,0,0,15,1
20,Kyle Hiebert,22,ca CAN,LB,25-336,90,55,3,24,25,7,0,55,0,0,0,0,0,22,128,64,2,1,0,0,1,27,0
20,Tim Parker,26,us USA,CB,30-128,90,65,11,43,22,1,1,65,0,0,0,0,0,34,128,51,0,0,0,1,0,37,0
20,Joshua Yaro,15,gh GHA,CB,28-225,90,58,6,28,30,0,0,58,0,0,0,0,0,32,161,111,0,0,0,0,1,40,0
20,Akil Watts,20,us USA,RB,23-147,66,52,4,11,27,15,1,52,1,1,100,0,0,26,180,120,4,3,1,0,3,29,2
20,Lucas Bartlett,24,us USA,"CB,RB",25-340,24,11,2,8,2,1,0,11,0,0,0,0,0,2,13,6,0,0,0,1,0,3,0
20,Roman Burki,1,ch SUI,GK,32-229,90,43,31,42,1,0,0,43,0,0,0,0,0,24,116,76,0,0,0,0,0,19,0
