Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
15,Celio Pompeu,12,br BRA,FW,23-179,90,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,0
15,Nicholas Gioacchini,11,us USA,FW,22-317,90,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
15,Tomas Ostrak,7,cz CZE,"AM,RM",23-122,90,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0
15,Indiana Vassilev,19,us USA,"LM,AM",22-111,90,1,1,0,1,0,1,1,100,0,2,0,2,0,1,0,0
15,Eduard Löwen,10,de GER,"RM,LM",26-130,90,2,2,1,0,1,2,3,66.7,1,1,0,1,0,2,0,0
15,Miguel Perez,28,us USA,DM,18-040,90,4,2,1,3,0,0,2,0,2,1,0,1,2,6,0,0
15,John Nelson,14,us USA,LB,24-331,90,2,1,1,1,0,1,3,33.3,2,2,1,1,1,3,3,0
15,Tim Parker,26,us USA,CB,30-104,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
15,Lucas Bartlett,24,us USA,CB,25-316,90,1,1,0,1,0,0,0,0,0,0,0,0,3,4,2,0
15,Jake Nerwinski,2,us USA,RB,28-233,90,2,1,1,1,0,0,0,0,0,1,0,1,3,5,3,0
15,Roman Burki,1,ch SUI,GK,32-205,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
