Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
15,Celio Pompeu,12,br BRA,FW,23-179,90,14,26,53.8,233,59,9,12,75,2,5,40,2,6,33.3,0,0.1,0.1,3,1,2,1,1
15,Nicholas Gioacchini,11,us USA,FW,22-317,90,21,26,80.8,258,30,15,15,100,4,7,57.1,1,2,50,0,0,0.1,1,1,0,0,3
15,Tomas Ostrak,7,cz CZE,"AM,RM",23-122,90,28,34,82.4,457,96,18,19,94.7,6,9,66.7,4,4,100,0,0,0,0,5,0,0,5
15,Indiana Vassilev,19,us USA,"LM,AM",22-111,90,27,44,61.4,458,192,14,19,73.7,8,12,66.7,3,10,30,0,0.1,0.5,1,4,3,1,8
15,Eduard Lowen,10,de GER,"RM,LM",26-130,90,39,58,67.2,662,285,21,28,75,10,13,76.9,5,11,45.5,0,0.2,0.1,3,3,2,1,7
15,Miguel Perez,28,us USA,DM,18-040,90,29,36,80.6,531,147,12,14,85.7,13,15,86.7,3,5,60,0,0,0,1,6,0,0,7
15,John Nelson,14,us USA,LB,24-331,90,36,55,65.5,527,254,18,23,78.3,13,22,59.1,2,7,28.6,0,0,0,2,5,0,0,5
15,Tim Parker,26,us USA,CB,30-104,90,37,44,84.1,756,292,10,10,100,21,26,80.8,6,7,85.7,0,0,0,0,4,0,0,3
15,Lucas Bartlett,24,us USA,CB,25-316,90,36,50,72,703,279,12,15,80,20,21,95.2,4,10,40,0,0,0,0,4,0,0,6
15,Jake Nerwinski,2,us USA,RB,28-233,90,30,40,75,438,229,17,17,100,11,17,64.7,1,5,20,0,0,0,0,5,1,0,7
15,Roman Burki,1,ch SUI,GK,32-205,90,23,37,62.2,699,569,4,4,100,12,12,100,7,21,33.3,0,0,0,0,2,0,0,0
