Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
15,Celio Pompeu,12,br BRA,FW,23-179,90,34,0,1,7,27,3,34,3,1,33.3,1,33.3,26,178,70,1,2,0,1,2,27,13
15,Nicholas Gioacchini,11,us USA,FW,22-317,90,35,0,0,11,24,4,35,1,0,0,1,100,20,66,23,0,0,0,4,0,25,11
15,Tomas Ostrak,7,cz CZE,"AM,RM",23-122,90,42,0,2,22,18,2,42,2,1,50,1,50,29,99,35,0,2,0,1,0,33,6
15,Indiana Vassilev,19,us USA,"LM,AM",22-111,90,54,0,5,25,26,1,54,1,0,0,1,100,33,242,111,4,4,1,1,2,35,5
15,Eduard Lowen,10,de GER,"RM,LM",26-130,90,72,0,5,32,37,3,72,4,2,50,1,25,44,271,131,5,3,1,3,0,48,7
15,Miguel Perez,28,us USA,DM,18-040,90,49,1,10,30,9,1,49,0,0,0,0,0,25,102,57,2,0,0,3,1,27,2
15,John Nelson,14,us USA,LB,24-331,90,66,3,19,31,17,1,66,1,1,100,0,0,25,81,50,1,0,0,1,1,24,4
15,Tim Parker,26,us USA,CB,30-104,90,48,1,22,25,1,1,48,0,0,0,0,0,27,81,20,0,0,0,0,0,26,0
15,Lucas Bartlett,24,us USA,CB,25-316,90,55,2,24,31,1,0,55,0,0,0,0,0,36,254,128,0,0,0,0,0,35,1
15,Jake Nerwinski,2,us USA,RB,28-233,90,52,1,11,27,16,0,52,3,2,66.7,1,33.3,23,166,90,2,4,0,1,1,22,3
15,Roman Burki,1,ch SUI,GK,32-205,90,37,25,36,1,0,0,37,0,0,0,0,0,20,91,36,0,0,0,0,0,11,0
