Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
26,Samuel Adeniran,16,us USA,FW,24-334,45,7,11,63.6,127,1,2,5,40,3,3,100,1,2,50,0,0,0,0,0,0,0,0
26,Nokkvi Thorisson,29,is ISL,FW,24-017,45,7,10,70,94,15,5,5,100,2,4,50,0,1,0,0,0,0,0,0,1,0,1
26,Jared Stroud,8,us USA,LW,27-051,45,14,20,70,280,58,3,4,75,10,12,83.3,1,2,50,0,0,0,0,1,0,0,2
26,Indiana Vassilev,19,us USA,"LM,CM",22-195,45,25,26,96.2,437,110,10,10,100,11,12,91.7,3,3,100,0,0,0,1,2,1,0,2
26,Rasmus Alm,21,se SWE,"RW,FW,RM",28-013,90,17,29,58.6,307,46,9,10,90,6,12,50,2,3,66.7,0,0,0,1,0,1,1,0
26,Aziel Jackson,25,fr FRA,"AM,CM",21-310,79,25,30,83.3,404,96,12,15,80,8,9,88.9,4,4,100,0,0,0.1,1,1,0,0,4
26,Tomas Ostrak,7,cz CZE,LM,23-206,11,5,5,100,77,40,2,2,100,3,3,100,0,0,0,0,0,0,1,1,0,0,2
26,Eduard Lowen,10,de GER,"DM,RM,AM",26-214,90,60,89,67.4,1064,328,25,29,86.2,21,29,72.4,9,21,42.9,1,0.3,0.2,4,10,4,1,17
26,Njabulo Blom,6,za RSA,"DM,CM,RB",23-262,90,52,58,89.7,942,274,24,27,88.9,24,24,100,4,6,66.7,0,0.1,0.1,2,12,1,0,10
26,Kyle Hiebert,22,ca CAN,LB,26-031,45,25,32,78.1,398,98,13,14,92.9,12,16,75,0,1,0,0,0,0.1,0,1,0,0,4
26,Anthony Markanich,13,us USA,LB,23-247,45,20,29,69,266,41,12,13,92.3,6,10,60,1,3,33.3,0,0,0,1,2,0,0,1
26,Tim Parker,26,us USA,CB,30-188,90,59,62,95.2,1233,494,17,18,94.4,32,33,97,8,9,88.9,0,0,0,0,10,0,0,6
26,Joshua Yaro,15,gh GHA,CB,28-285,90,66,72,91.7,1157,411,32,34,94.1,31,32,96.9,3,5,60,0,0,0,1,13,0,0,7
26,Akil Watts,20,us USA,RB,23-207,70,38,45,84.4,594,128,20,20,100,14,16,87.5,2,4,50,0,0.1,0.1,1,3,1,0,5
26,Klauss,9,br BRA,FW,26-182,20,3,5,60,33,22,1,1,100,1,2,50,0,0,0,0,0,0,0,0,1,0,1
26,Roman Burki,1,ch SUI,GK,32-289,90,21,25,84,658,478,2,2,100,9,9,100,9,13,69.2,0,0,0,0,1,0,0,0
