Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
26,Samuel Adeniran,16,us USA,FW,24-334,45,11,11,0,0,0,1,1,0,0,0,0,0,7,0,0
26,Nokkvi Thorisson,29,is ISL,FW,24-017,45,10,9,1,0,0,0,1,1,0,0,0,0,7,0,0
26,Jared Stroud,8,us USA,LW,27-051,45,20,17,2,0,0,0,2,2,0,0,0,0,14,1,0
26,Indiana Vassilev,19,us USA,"LM,CM",22-195,45,26,23,3,2,0,0,1,0,1,0,0,0,25,0,0
26,Rasmus Alm,21,se SWE,"RW,FW,RM",28-013,90,29,29,0,0,0,0,6,0,0,0,0,0,17,0,3
26,Aziel Jackson,25,fr FRA,"AM,CM",21-310,79,30,28,2,0,0,0,0,1,0,0,0,0,25,0,0
26,Tomas Ostrak,7,cz CZE,LM,23-206,11,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
26,Eduard Lowen,10,de GER,"DM,RM,AM",26-214,90,89,75,14,5,0,2,12,0,9,1,6,0,60,0,4
26,Njabulo Blom,6,za RSA,"DM,CM,RB",23-262,90,58,57,1,0,0,1,1,1,0,0,0,0,52,0,0
26,Kyle Hiebert,22,ca CAN,LB,26-031,45,32,31,1,0,0,0,0,1,0,0,0,0,25,0,0
26,Anthony Markanich,13,us USA,LB,23-247,45,29,27,2,0,0,0,4,2,0,0,0,0,20,0,1
26,Tim Parker,26,us USA,CB,30-188,90,62,59,3,3,0,0,0,0,0,0,0,0,59,0,0
26,Joshua Yaro,15,gh GHA,CB,28-285,90,72,69,3,2,0,0,0,1,0,0,0,0,66,0,0
26,Akil Watts,20,us USA,RB,23-207,70,45,41,4,0,0,1,4,4,0,0,0,0,38,0,2
26,Klauss,9,br BRA,FW,26-182,20,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1
26,Roman Burki,1,ch SUI,GK,32-289,90,25,18,7,5,0,0,0,0,0,0,0,0,21,0,0
