Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
29,Klauss,9,br BRA,FW,26-199,90,1,1,0,0,1,0,2,0,2,0,0,0,1,2,0,0
29,Jared Stroud,8,us USA,LW,27-068,59,1,1,1,0,0,0,0,0,0,1,0,1,2,3,1,0
29,Nicholas Gioacchini,11,us USA,LW,23-053,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
29,Celio Pompeu,12,br BRA,RW,23-280,79,5,4,3,1,1,3,3,100,0,2,0,2,0,5,0,0
29,Tomas Ostrak,7,cz CZE,RW,23-223,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Aziel Jackson,25,fr FRA,AM,21-327,59,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
29,Nokkvi Thorisson,29,is ISL,AM,24-034,31,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
29,Njabulo Blom,6,za RSA,DM,23-279,90,1,1,1,0,0,0,3,0,3,1,1,0,0,1,2,0
29,Eduard Lowen,10,de GER,DM,26-231,90,1,0,1,0,0,1,1,100,0,1,1,0,0,1,1,0
29,Anthony Markanich,13,us USA,LB,23-264,79,4,2,2,1,1,2,4,50,2,0,0,0,2,6,2,0
29,Indiana Vassilev,19,us USA,LB,22-212,11,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
29,Joakim Nilsson,4,se SWE,CB,29-222,81,2,2,1,1,0,2,2,100,0,3,3,0,1,3,4,0
29,Joshua Yaro,15,gh GHA,CB,28-302,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Tim Parker,26,us USA,CB,30-205,90,0,0,0,0,0,0,0,0,0,2,1,1,2,2,5,0
29,Jake Nerwinski,2,us USA,RB,28-334,90,2,0,2,0,0,0,0,0,0,0,0,0,2,4,6,0
29,Roman Burki,1,ch SUI,GK,32-306,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
