Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
29,Klauss,9,br BRA,FW,26-199,90,21,19,2,0,0,0,0,1,0,0,0,0,13,0,1
29,Jared Stroud,8,us USA,LW,27-068,59,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0
29,Nicholas Gioacchini,11,us USA,LW,23-053,31,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
29,Celio Pompeu,12,br BRA,RW,23-280,79,29,28,1,0,0,0,4,1,0,0,0,0,21,0,1
29,Tomas Ostrak,7,cz CZE,RW,23-223,11,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
29,Aziel Jackson,25,fr FRA,AM,21-327,59,12,11,1,0,0,0,0,0,0,0,0,0,10,0,0
29,Nokkvi Thorisson,29,is ISL,AM,24-034,31,11,10,1,0,0,0,2,1,0,0,0,0,7,0,2
29,Njabulo Blom,6,za RSA,DM,23-279,90,26,25,1,1,0,0,0,0,0,0,0,0,24,0,0
29,Eduard Lowen,10,de GER,DM,26-231,90,41,31,10,5,1,0,7,1,4,4,0,0,32,0,0
29,Anthony Markanich,13,us USA,LB,23-264,79,28,20,8,0,0,0,0,8,0,0,0,0,15,0,1
29,Indiana Vassilev,19,us USA,LB,22-212,11,11,10,1,0,0,0,0,1,0,0,0,0,7,0,1
29,Joakim Nilsson,4,se SWE,CB,29-222,81,22,21,1,1,0,0,0,0,0,0,0,0,22,0,0
29,Joshua Yaro,15,gh GHA,CB,28-302,9,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1
29,Tim Parker,26,us USA,CB,30-205,90,26,24,2,2,0,0,0,0,0,0,0,0,22,0,1
29,Jake Nerwinski,2,us USA,RB,28-334,90,35,30,5,1,0,0,0,4,0,0,0,0,26,0,1
29,Roman Burki,1,ch SUI,GK,32-306,90,31,20,11,5,0,1,0,0,0,0,0,0,12,0,0
