Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
29,Klauss,9,br BRA,FW,26-199,90,13,21,61.9,197,40,5,9,55.6,7,8,87.5,0,1,0,0,0.1,0,2,3,1,0,3
29,Jared Stroud,8,us USA,LW,27-068,59,8,11,72.7,125,20,6,8,75,1,1,100,1,2,50,0,0,0,1,2,0,0,0
29,Nicholas Gioacchini,11,us USA,LW,23-053,31,5,7,71.4,90,13,2,4,50,3,3,100,0,0,0,0,0,0,0,0,0,0,1
29,Celio Pompeu,12,br BRA,RW,23-280,79,21,29,72.4,304,160,14,15,93.3,3,6,50,3,4,75,0,0,0.1,0,1,1,0,1
29,Tomas Ostrak,7,cz CZE,RW,23-223,11,3,6,50,21,8,3,5,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Aziel Jackson,25,fr FRA,AM,21-327,59,10,12,83.3,186,11,5,6,83.3,3,4,75,2,2,100,0,0.1,0,1,0,1,0,1
29,Nokkvi Thorisson,29,is ISL,AM,24-034,31,7,11,63.6,145,61,3,4,75,3,3,100,1,2,50,0,0,0,0,2,0,0,1
29,Njabulo Blom,6,za RSA,DM,23-279,90,24,26,92.3,387,177,13,15,86.7,10,10,100,1,1,100,0,0,0,0,3,0,0,5
29,Eduard Lowen,10,de GER,DM,26-231,90,32,41,78,678,334,11,13,84.6,13,16,81.3,7,11,63.6,0,0.2,0.3,2,7,2,0,6
29,Anthony Markanich,13,us USA,LB,23-264,79,15,28,53.6,289,129,2,5,40,13,19,68.4,0,3,0,0,0,0,1,3,0,0,1
29,Indiana Vassilev,19,us USA,LB,22-212,11,7,11,63.6,183,103,2,2,100,3,3,100,2,4,50,0,0.3,0.1,1,1,1,0,1
29,Joakim Nilsson,4,se SWE,CB,29-222,81,22,22,100,430,221,8,8,100,11,11,100,3,3,100,0,0,0,0,2,0,0,2
29,Joshua Yaro,15,gh GHA,CB,28-302,9,4,6,66.7,83,28,1,1,100,3,3,100,0,1,0,0,0,0,0,0,0,0,0
29,Tim Parker,26,us USA,CB,30-205,90,22,26,84.6,472,164,6,8,75,13,14,92.9,3,3,100,0,0,0,0,1,0,0,2
29,Jake Nerwinski,2,us USA,RB,28-334,90,26,35,74.3,526,359,8,8,100,15,21,71.4,3,5,60,0,0,0,0,4,0,0,3
29,Roman Burki,1,ch SUI,GK,32-306,90,12,31,38.7,354,221,2,2,100,4,4,100,6,25,24,0,0,0,0,0,0,0,0
