Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
29,Klauss,9,br BRA,FW,26-199,90,31,0,0,12,19,6,31,0,0,0,0,0,20,34,4,0,0,0,5,0,23,4
29,Jared Stroud,8,us USA,LW,27-068,59,18,1,8,3,7,1,18,1,0,0,1,100,11,60,35,1,1,0,0,0,8,0
29,Nicholas Gioacchini,11,us USA,LW,23-053,31,10,0,1,2,7,1,10,1,1,100,0,0,7,28,10,1,0,1,2,1,8,3
29,Celio Pompeu,12,br BRA,RW,23-280,79,40,0,13,10,18,1,40,4,3,75,1,25,25,154,73,2,4,0,1,2,24,8
29,Tomas Ostrak,7,cz CZE,RW,23-223,11,8,0,0,4,4,2,8,0,0,0,0,0,6,33,12,1,0,1,0,0,8,1
29,Aziel Jackson,25,fr FRA,AM,21-327,59,23,0,4,4,15,1,23,3,0,0,2,66.7,18,69,31,0,1,0,2,3,17,3
29,Nokkvi Thorisson,29,is ISL,AM,24-034,31,16,0,2,9,6,0,16,0,0,0,0,0,12,139,68,2,0,0,0,1,11,2
29,Njabulo Blom,6,za RSA,DM,23-279,90,33,4,9,21,4,0,33,2,0,0,2,100,18,101,56,0,1,0,0,0,16,0
29,Eduard Lowen,10,de GER,DM,26-231,90,59,2,14,26,21,1,59,5,3,60,2,40,32,197,94,4,1,1,2,4,32,5
29,Anthony Markanich,13,us USA,LB,23-264,79,35,1,10,20,6,0,35,0,0,0,0,0,13,70,29,1,2,1,0,0,13,0
29,Indiana Vassilev,19,us USA,LB,22-212,11,12,1,4,4,4,1,12,0,0,0,0,0,7,24,3,0,0,0,0,0,6,1
29,Joakim Nilsson,4,se SWE,CB,29-222,81,32,5,22,10,0,0,32,0,0,0,0,0,14,28,10,0,0,0,0,0,15,0
29,Joshua Yaro,15,gh GHA,CB,28-302,9,6,1,5,1,0,0,6,0,0,0,0,0,3,5,0,0,0,0,0,0,4,0
29,Tim Parker,26,us USA,CB,30-205,90,39,8,26,11,2,2,39,0,0,0,0,0,12,28,4,0,1,0,0,0,14,0
29,Jake Nerwinski,2,us USA,RB,28-334,90,48,11,32,14,2,0,48,1,0,0,0,0,15,98,73,1,0,0,1,0,18,0
29,Roman Burki,1,ch SUI,GK,32-306,90,34,23,33,1,0,0,34,0,0,0,0,0,17,129,79,0,0,0,0,0,13,0
