Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
14,Nicholas Gioacchini,11,us USA,"FW,AM",22-313,88,8,12,66.7,92,15,8,9,88.9,0,0,0,0,1,0,0,0.1,0,1,0,1,0,1
14,John Nelson,14,us USA,AM,24-327,2,1,1,100,6,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Celio Pompeu,12,br BRA,LW,23-175,88,14,27,51.9,205,86,7,10,70,7,13,53.8,0,3,0,0,0.3,0.3,2,2,1,1,2
14,Isak Jensen,30,dk DEN,LW,19-162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tomas Ostrak,7,cz CZE,RW,23-118,64,17,20,85,248,5,10,13,76.9,7,7,100,0,0,0,0,0,0,0,1,0,0,1
14,Rasmus Alm,21,se SWE,RW,27-290,26,4,10,40,69,31,2,3,66.7,2,4,50,0,2,0,0,0,0,0,0,0,0,1
14,Indiana Vassilev,19,us USA,AM,22-107,64,12,18,66.7,237,57,4,7,57.1,6,8,75,2,3,66.7,0,0,0.1,1,1,1,0,2
14,Aziel Jackson,25,fr FRA,"FW,AM",21-222,26,3,3,100,42,15,2,2,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0
14,Eduard Lowen,10,de GER,DM,26-126,90,39,58,67.2,849,417,12,16,75,21,25,84,6,15,40,0,0,0.2,1,8,3,0,11
14,Njabulo Blom,6,za RSA,DM,23-174,90,23,30,76.7,304,90,15,21,71.4,5,6,83.3,2,2,100,0,0,0,0,1,0,0,2
14,Kyle Hiebert,22,ca CAN,LB,25-308,90,28,34,82.4,507,229,13,15,86.7,13,15,86.7,2,4,50,0,0,0,0,5,0,0,6
14,Tim Parker,26,us USA,CB,30-100,90,46,55,83.6,904,384,11,14,78.6,31,32,96.9,3,8,37.5,0,0,0,0,1,0,0,4
14,Lucas Bartlett,24,us USA,CB,25-312,90,39,50,78,654,215,17,20,85,20,24,83.3,1,3,33.3,1,0.2,0.3,1,2,0,0,4
14,Jake Nerwinski,2,us USA,RB,28-229,88,27,42,64.3,407,178,17,20,85,8,17,47.1,2,4,50,0,0,0,0,3,1,0,4
14,Joshua Yaro,15,gh GHA,RB,28-197,2,2,3,66.7,36,24,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0
14,Roman Burki,1,ch SUI,GK,32-201,90,27,35,77.1,737,570,5,5,100,14,14,100,8,16,50,0,0,0,0,1,0,0,0
