Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
14,Nicholas Gioacchini,11,us USA,"FW,AM",22-313,88,2,1,0,2,0,1,2,50,1,1,0,1,1,3,1,0
14,John Nelson,14,us USA,AM,24-327,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Celio Pompeu,12,br BRA,LW,23-175,88,1,0,0,0,1,1,2,50,1,2,0,2,0,1,1,0
14,Isak Jensen,30,dk DEN,LW,19-162,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14,Tomas Ostrak,7,cz CZE,RW,23-118,64,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
14,Rasmus Alm,21,se SWE,RW,27-290,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14,Indiana Vassilev,19,us USA,AM,22-107,64,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0
14,Aziel Jackson,25,fr FRA,"FW,AM",21-222,26,2,1,0,1,1,1,2,50,1,0,0,0,0,2,1,0
14,Eduard Lowen,10,de GER,DM,26-126,90,4,3,1,3,0,2,2,100,0,2,0,2,1,5,2,0
14,Njabulo Blom,6,za RSA,DM,23-174,90,2,0,2,0,0,0,1,0,1,2,1,1,3,5,2,0
14,Kyle Hiebert,22,ca CAN,LB,25-308,90,3,3,1,2,0,2,4,50,2,3,3,0,2,5,2,0
14,Tim Parker,26,us USA,CB,30-100,90,1,1,0,1,0,0,1,0,1,1,1,0,2,3,5,0
14,Lucas Bartlett,24,us USA,CB,25-312,90,1,1,1,0,0,1,2,50,1,0,0,0,2,3,4,0
14,Jake Nerwinski,2,us USA,RB,28-229,88,2,2,0,1,1,2,4,50,2,2,1,1,1,3,1,0
14,Joshua Yaro,15,gh GHA,RB,28-197,2,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
14,Roman Burki,1,ch SUI,GK,32-201,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
