Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
14,Nicholas Gioacchini,11,us USA,"FW,AM",22-313,88,12,11,1,0,0,0,0,0,0,0,0,0,8,0,0
14,John Nelson,14,us USA,AM,24-327,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Celio Pompeu,12,br BRA,LW,23-175,88,27,26,0,0,0,0,5,0,0,0,0,0,14,1,0
14,Isak Jensen,30,dk DEN,LW,19-162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tomas Ostrak,7,cz CZE,RW,23-118,64,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0
14,Rasmus Alm,21,se SWE,RW,27-290,26,10,9,1,0,0,0,0,1,0,0,0,0,4,0,1
14,Indiana Vassilev,19,us USA,AM,22-107,64,18,16,2,0,0,0,3,0,2,2,0,0,12,0,0
14,Aziel Jackson,25,fr FRA,"FW,AM",21-222,26,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
14,Eduard Lowen,10,de GER,DM,26-126,90,58,46,12,7,0,1,8,0,5,4,0,0,39,0,4
14,Njabulo Blom,6,za RSA,DM,23-174,90,30,29,1,1,0,0,0,0,0,0,0,0,23,0,2
14,Kyle Hiebert,22,ca CAN,LB,25-308,90,34,27,7,0,0,0,0,7,0,0,0,0,28,0,0
14,Tim Parker,26,us USA,CB,30-100,90,55,50,5,4,0,0,0,1,0,0,0,0,46,0,0
14,Lucas Bartlett,24,us USA,CB,25-312,90,50,48,1,1,0,0,0,0,0,0,0,0,39,1,0
14,Jake Nerwinski,2,us USA,RB,28-229,88,42,33,9,0,0,0,0,9,0,0,0,0,27,0,1
14,Joshua Yaro,15,gh GHA,RB,28-197,2,3,2,1,0,0,0,0,1,0,0,0,0,2,0,0
14,Roman Burki,1,ch SUI,GK,32-201,90,35,26,9,1,0,0,0,0,0,0,0,0,27,0,0
