Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
12,Nicholas Gioacchini,11,us USA,FW,22-299,87,16,24,66.7,206,9,12,13,92.3,2,6,33.3,1,1,100,0,0,0.1,1,0,0,0,1
12,Aziel Jackson,25,fr FRA,FW,21-208,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Celio Pompeu,12,br BRA,LW,23-161,90,8,16,50,100,56,6,8,75,0,2,0,1,3,33.3,0,0,0,0,0,0,0,0
12,Jared Stroud,8,us USA,RW,26-314,68,13,19,68.4,277,127,5,7,71.4,5,5,100,3,4,75,2,0.3,0.1,5,4,2,1,7
12,Tomas Ostrak,7,cz CZE,RW,23-104,22,3,3,100,54,11,1,1,100,2,2,100,0,0,0,1,0.2,0,1,0,1,0,1
12,Indiana Vassilev,19,us USA,AM,22-093,90,12,17,70.6,192,80,7,7,100,4,6,66.7,1,3,33.3,0,0.1,0.1,1,1,1,1,2
12,Eduard Lowen,10,de GER,DM,26-112,77,28,38,73.7,499,265,15,18,83.3,9,11,81.8,4,7,57.1,0,0,0.1,1,5,1,0,4
12,John Klein,41,us USA,DM,23-184,13,3,6,50,49,30,2,3,66.7,1,2,50,0,0,0,0,0,0,0,1,0,0,2
12,Njabulo Blom,6,za RSA,DM,23-160,77,16,20,80,205,90,12,14,85.7,4,5,80,0,1,0,0,0,0,0,2,0,0,3
12,Miguel Perez,28,us USA,DM,18-022,13,1,3,33.3,17,12,0,1,0,1,1,100,0,0,0,0,0,0,0,1,0,0,1
12,Kyle Hiebert,22,ca CAN,LB,25-294,90,21,33,63.6,303,155,13,17,76.5,8,12,66.7,0,2,0,0,0,0,1,0,0,0,2
12,Tim Parker,26,us USA,CB,30-086,90,25,27,92.6,559,183,7,8,87.5,10,10,100,7,8,87.5,0,0,0,0,3,0,0,1
12,Lucas Bartlett,24,us USA,CB,25-298,90,21,31,67.7,406,120,7,9,77.8,12,14,85.7,2,6,33.3,0,0,0,0,1,0,0,2
12,Jake Nerwinski,2,us USA,RB,28-215,90,18,25,72,296,263,9,10,90,9,14,64.3,0,1,0,0,0,0,0,1,0,0,2
12,Roman Burki,1,ch SUI,GK,32-187,90,14,30,46.7,705,633,1,1,100,2,2,100,11,26,42.3,0,0,0,0,3,0,0,0
