Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
12,Nicholas Gioacchini,11,us USA,FW,22-299,87,2,0,2,0,0,1,1,100,0,1,1,0,1,3,0,0
12,Aziel Jackson,25,fr FRA,FW,21-208,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Célio Pompeu,12,br BRA,LW,23-161,90,4,3,2,1,1,1,1,100,0,3,0,3,0,4,0,0
12,Jared Stroud,8,us USA,RW,26-314,68,4,3,1,3,0,2,6,33.3,4,1,0,1,0,4,0,0
12,Tomas Ostrak,7,cz CZE,RW,23-104,22,2,2,2,0,0,0,2,0,2,1,0,1,0,2,0,0
12,Indiana Vassilev,19,us USA,AM,22-093,90,0,0,0,0,0,0,5,0,5,1,0,1,1,1,0,0
12,Eduard Lowen,10,de GER,DM,26-112,77,3,2,1,2,0,1,3,33.3,2,4,2,2,0,3,2,0
12,John Klein,41,us USA,DM,23-184,13,1,1,0,1,0,1,1,100,0,1,0,1,1,2,0,0
12,Njabulo Blom,6,za RSA,DM,23-160,77,3,1,2,0,1,0,4,0,4,0,0,0,4,7,0,0
12,Miguel Perez,28,us USA,DM,18-022,13,1,0,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0
12,Kyle Hiebert,22,ca CAN,LB,25-294,90,3,1,2,1,0,2,2,100,0,1,0,1,1,4,3,0
12,Tim Parker,26,us USA,CB,30-086,90,2,2,0,1,1,0,2,0,2,1,1,0,2,4,10,0
12,Lucas Bartlett,24,us USA,CB,25-298,90,4,4,3,1,0,4,6,66.7,2,2,1,1,2,6,1,0
12,Jake Nerwinski,2,us USA,RB,28-215,90,4,0,3,1,0,2,5,40,3,0,0,0,1,5,2,0
12,Roman Burki,1,ch SUI,GK,32-187,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
