Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
12,Nicholas Gioacchini,11,us USA,FW,22-299,87,24,23,1,0,0,0,0,0,0,0,0,0,16,0,2
12,Aziel Jackson,25,fr FRA,FW,21-208,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Celio Pompeu,12,br BRA,LW,23-161,90,16,14,1,0,0,0,1,0,1,1,0,0,8,1,0
12,Jared Stroud,8,us USA,RW,26-314,68,19,19,0,0,0,0,3,0,0,0,0,0,13,0,2
12,Tomas Ostrak,7,cz CZE,RW,23-104,22,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
12,Indiana Vassilev,19,us USA,AM,22-093,90,17,14,3,1,0,0,5,0,2,2,0,0,12,0,1
12,Eduard Lowen,10,de GER,DM,26-112,77,38,33,5,4,0,0,1,0,1,0,0,0,28,0,1
12,John Klein,41,us USA,DM,23-184,13,6,6,0,0,0,0,0,0,0,0,0,0,3,0,1
12,Njabulo Blom,6,za RSA,DM,23-160,77,20,20,0,0,0,0,0,0,0,0,0,0,16,0,0
12,Miguel Perez,28,us USA,DM,18-022,13,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
12,Kyle Hiebert,22,ca CAN,LB,25-294,90,33,22,11,0,0,0,0,11,0,0,0,0,21,0,1
12,Tim Parker,26,us USA,CB,30-086,90,27,27,0,0,0,0,0,0,0,0,0,0,25,0,0
12,Lucas Bartlett,24,us USA,CB,25-298,90,31,28,2,2,0,0,0,0,0,0,0,0,21,1,1
12,Jake Nerwinski,2,us USA,RB,28-215,90,25,11,14,0,0,0,0,14,0,0,0,0,18,0,0
12,Roman Burki,1,ch SUI,GK,32-187,90,30,18,11,3,0,0,0,0,0,0,0,0,14,1,0
