Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
12,Nicholas Gioacchini,11,us USA,FW,22-299,87,40,2,8,12,21,4,40,3,2,66.7,1,33.3,20,138,101,5,2,2,3,1,30,8
12,Aziel Jackson,25,fr FRA,FW,21-208,3,2,0,1,1,0,0,2,1,0,0,1,100,1,7,5,0,0,0,0,0,0,0
12,Celio Pompeu,12,br BRA,LW,23-161,90,33,1,7,11,16,4,33,3,1,33.3,2,66.7,15,73,43,2,0,1,3,2,20,5
12,Jared Stroud,8,us USA,RW,26-314,68,31,0,5,15,11,1,31,1,1,100,0,0,17,121,45,4,1,0,5,1,18,6
12,Tomas Ostrak,7,cz CZE,RW,23-104,22,5,0,2,2,2,0,5,0,0,0,0,0,2,30,28,1,1,0,0,0,1,1
12,Indiana Vassilev,19,us USA,AM,22-093,90,28,1,1,13,14,2,28,3,1,33.3,2,66.7,13,63,32,1,1,1,1,0,16,5
12,Eduard Lowen,10,de GER,DM,26-112,77,55,5,11,26,18,2,54,0,0,0,0,0,19,98,41,0,2,0,2,0,32,0
12,John Klein,41,us USA,DM,23-184,13,10,0,1,8,1,1,10,0,0,0,0,0,8,28,12,1,0,0,0,0,6,0
12,Njabulo Blom,6,za RSA,DM,23-160,77,27,0,8,17,3,0,27,1,0,0,0,0,9,23,7,0,0,0,1,1,12,1
12,Miguel Perez,28,us USA,DM,18-022,13,11,2,8,1,2,0,11,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0
12,Kyle Hiebert,22,ca CAN,LB,25-294,90,43,5,15,16,12,1,43,0,0,0,0,0,8,30,8,0,0,0,0,1,9,2
12,Tim Parker,26,us USA,CB,30-086,90,43,14,28,14,1,0,43,1,1,100,0,0,14,59,25,0,0,0,1,0,16,0
12,Lucas Bartlett,24,us USA,CB,25-298,90,45,7,25,20,1,1,45,1,0,0,1,100,20,107,49,0,0,0,0,0,17,0
12,Jake Nerwinski,2,us USA,RB,28-215,90,37,4,20,15,2,0,37,0,0,0,0,0,6,44,15,0,1,0,2,1,11,0
12,Roman Burki,1,ch SUI,GK,32-187,90,36,31,35,1,0,0,36,0,0,0,0,0,19,116,43,0,0,0,0,0,10,0
