Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
32,Samuel Adeniran,16,us USA,FW,25-000,90,9,15,60,103,7,4,8,50,3,3,100,0,0,0,0,0,0,0,1,0,0,0
32,Klauss,9,br BRA,FW,26-213,88,15,22,68.2,277,86,6,8,75,6,9,66.7,2,4,50,0,0,0.1,1,1,0,0,2
32,Nokkvi Thorisson,29,is ISL,FW,24-048,2,1,2,50,8,6,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Aziel Jackson,25,fr FRA,LM,21-341,64,17,22,77.3,244,94,11,13,84.6,6,6,100,0,1,0,0,0,0,1,4,1,0,4
32,Nicholas Gioacchini,11,us USA,LM,23-067,26,5,7,71.4,103,43,2,2,100,2,4,50,1,1,100,0,0.1,0.1,1,0,1,0,2
32,Eduard Lowen,10,de GER,CM,26-245,89,44,57,77.2,844,273,19,21,90.5,21,23,91.3,4,10,40,2,0.5,0.6,4,5,3,1,4
32,Tomas Ostrak,7,cz CZE,CM,23-237,1,2,2,100,35,23,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0
32,Njabulo Blom,6,za RSA,CM,23-293,90,25,27,92.6,331,118,20,20,100,4,5,80,1,2,50,0,0,0,0,5,0,0,3
32,Indiana Vassilev,19,us USA,RM,22-226,63,16,21,76.2,227,58,9,12,75,5,5,100,1,3,33.3,0,0.1,0,2,2,0,0,1
32,Jared Stroud,8,us USA,RM,27-082,27,8,9,88.9,129,40,4,4,100,4,5,80,0,0,0,1,0.2,0.3,3,1,1,0,1
32,Anthony Markanich,13,us USA,LB,23-278,89,34,48,70.8,680,255,8,14,57.1,19,22,86.4,5,10,50,0,1.1,0.3,2,4,2,0,6
32,Kyle Hiebert,22,ca CAN,LB,26-062,1,1,1,100,25,25,0,0,0,1,1,100,0,0,0,0,0,0,1,0,0,0,0
32,Joakim Nilsson,4,se SWE,CB,29-236,90,55,61,90.2,1032,423,18,18,100,34,37,91.9,3,6,50,0,0,0,0,2,0,0,1
32,Tim Parker,26,us USA,CB,30-219,90,56,63,88.9,1147,393,11,12,91.7,42,44,95.5,3,7,42.9,0,0,0,0,6,0,0,5
32,Jake Nerwinski,2,us USA,RB,28-348,90,28,36,77.8,440,195,14,20,70,11,12,91.7,3,4,75,0,0,0,0,2,0,0,3
32,Roman Burki,1,ch SUI,GK,32-320,90,25,35,71.4,641,498,9,9,100,9,9,100,7,17,41.2,0,0,0,0,1,0,0,1
