Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
32,Samuel Adeniran,16,us USA,FW,25-000,90,15,15,0,0,0,0,2,0,0,0,0,0,9,0,1
32,Klauss,9,br BRA,FW,26-213,88,22,21,1,0,0,0,1,0,0,0,0,0,15,0,0
32,Nokkvi Thorisson,29,is ISL,FW,24-048,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Aziel Jackson,25,fr FRA,LM,21-341,64,22,21,1,0,0,0,1,0,1,0,0,0,17,0,0
32,Nicholas Gioacchini,11,us USA,LM,23-067,26,7,6,1,0,0,1,0,1,0,0,0,0,5,0,0
32,Eduard Lowen,10,de GER,CM,26-245,89,57,48,9,5,1,0,6,0,4,1,2,0,44,0,2
32,Tomas Ostrak,7,cz CZE,CM,23-237,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
32,Njabulo Blom,6,za RSA,CM,23-293,90,27,27,0,0,0,0,1,0,0,0,0,0,25,0,0
32,Indiana Vassilev,19,us USA,RM,22-226,63,21,18,3,1,0,0,1,0,2,0,1,0,16,0,0
32,Jared Stroud,8,us USA,RM,27-082,27,9,9,0,0,1,0,0,0,0,0,0,0,8,0,0
32,Anthony Markanich,13,us USA,LB,23-278,89,48,41,7,1,0,0,1,6,0,0,0,0,34,0,0
32,Kyle Hiebert,22,ca CAN,LB,26-062,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
32,Joakim Nilsson,4,se SWE,CB,29-236,90,61,60,1,1,0,0,0,0,0,0,0,0,55,0,0
32,Tim Parker,26,us USA,CB,30-219,90,63,59,4,3,0,1,0,1,0,0,0,0,56,0,0
32,Jake Nerwinski,2,us USA,RB,28-348,90,36,30,6,1,0,0,1,5,0,0,0,0,28,0,0
32,Roman Burki,1,ch SUI,GK,32-320,90,35,27,8,1,0,0,0,0,0,0,0,0,25,0,0
