Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
32,Samuel Adeniran,16,us USA,FW,25-000,90,31,2,2,6,24,8,31,5,1,20,4,80,19,235,45,3,2,1,1,5,22,4
32,Klauss,9,br BRA,FW,26-213,88,43,3,8,10,25,10,43,0,0,0,0,0,15,43,20,2,0,2,2,1,24,7
32,Nokkvi Thorisson,29,is ISL,FW,24-048,2,4,1,1,1,2,1,4,1,1,100,0,0,3,46,42,2,1,0,0,0,3,0
32,Aziel Jackson,25,fr FRA,LM,21-341,64,37,1,5,15,17,1,37,3,0,0,3,100,18,92,56,0,1,0,1,5,27,5
32,Nicholas Gioacchini,11,us USA,LM,23-067,26,10,0,0,2,8,4,10,0,0,0,0,0,5,23,14,1,0,0,0,0,8,2
32,Eduard Lowen,10,de GER,CM,26-245,89,63,1,8,35,21,4,63,2,2,100,0,0,23,205,100,4,1,1,0,2,41,4
32,Tomas Ostrak,7,cz CZE,CM,23-237,1,3,1,2,2,0,0,3,0,0,0,0,0,1,24,21,0,0,0,0,0,0,0
32,Njabulo Blom,6,za RSA,CM,23-293,90,37,2,6,24,7,1,37,0,0,0,0,0,19,114,44,2,0,1,2,1,24,1
32,Indiana Vassilev,19,us USA,RM,22-226,63,26,0,3,11,12,1,26,1,0,0,1,100,13,100,50,1,3,0,1,2,20,2
32,Jared Stroud,8,us USA,RM,27-082,27,15,0,3,5,7,5,15,0,0,0,0,0,6,41,7,0,0,0,0,0,8,2
32,Anthony Markanich,13,us USA,LB,23-278,89,62,3,24,26,14,2,62,2,0,0,1,50,22,95,52,1,2,0,1,0,28,3
32,Kyle Hiebert,22,ca CAN,LB,26-062,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Joakim Nilsson,4,se SWE,CB,29-236,90,68,5,33,34,2,0,68,0,0,0,0,0,38,229,148,1,0,0,0,0,50,0
32,Tim Parker,26,us USA,CB,30-219,90,75,8,43,31,2,1,75,0,0,0,0,0,35,222,140,0,0,0,0,0,44,0
32,Jake Nerwinski,2,us USA,RB,28-348,90,51,5,17,23,11,0,51,1,1,100,0,0,15,70,21,1,2,0,0,1,20,2
32,Roman Burki,1,ch SUI,GK,32-320,90,38,29,37,1,0,0,38,0,0,0,0,0,17,112,73,0,0,0,0,0,18,0
