Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
27,Samuel Adeniran,16,us USA,FW,24-337,73,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
27,Aziel Jackson,25,fr FRA,FW,21-313,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27,Nokkvi Thorisson,29,is ISL,LW,24-020,90,3,0,2,1,0,1,2,50,1,2,0,2,2,5,0,0
27,Jared Stroud,8,us USA,RW,27-054,90,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,0
27,Tomas Ostrak,7,cz CZE,AM,23-209,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
27,Eduard Lowen,10,de GER,AM,26-217,45,3,2,2,0,1,2,5,40,3,1,0,1,0,3,0,0
27,Indiana Vassilev,19,us USA,DM,22-198,45,2,0,0,2,0,1,1,100,0,1,0,1,1,3,0,0
27,Klauss,9,br BRA,DM,26-185,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Njabulo Blom,6,za RSA,DM,23-265,90,2,2,2,0,0,2,2,100,0,0,0,0,2,4,2,0
27,Anthony Markanich,13,us USA,LB,23-250,61,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
27,Rasmus Alm,21,se SWE,LB,28-016,29,3,2,2,1,0,2,2,100,0,0,0,0,0,3,0,0
27,Joakim Nilsson,4,se SWE,CB,29-208,90,0,0,0,0,0,0,1,0,1,3,2,1,1,1,8,0
27,Tim Parker,26,us USA,CB,30-191,45,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0
27,Joshua Yaro,15,gh GHA,CB,28-288,45,2,0,2,0,0,2,3,66.7,1,1,0,1,0,2,1,0
27,Kyle Hiebert,22,ca CAN,RB,26-034,90,1,1,0,1,0,1,1,100,0,2,0,2,1,2,8,0
27,Roman Burki,1,ch SUI,GK,32-292,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
