Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
27,Samuel Adeniran,16,us USA,FW,24-337,73,11,8,3,0,0,0,0,0,0,0,0,0,8,0,0
27,Aziel Jackson,25,fr FRA,FW,21-313,17,9,9,0,0,0,0,1,0,0,0,0,0,7,0,0
27,Nokkvi Thorisson,29,is ISL,LW,24-020,90,25,24,1,0,0,0,1,1,0,0,0,0,18,0,1
27,Jared Stroud,8,us USA,RW,27-054,90,36,29,7,0,0,0,4,7,0,0,0,0,27,0,2
27,Tomas Ostrak,7,cz CZE,AM,23-209,45,11,9,2,0,0,0,2,0,2,0,2,0,5,0,0
27,Eduard Lowen,10,de GER,AM,26-217,45,28,24,3,1,0,0,2,1,1,0,0,0,19,1,0
27,Indiana Vassilev,19,us USA,DM,22-198,45,15,13,2,0,0,0,3,0,2,0,2,0,10,0,0
27,Klauss,9,br BRA,DM,26-185,45,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1
27,Njabulo Blom,6,za RSA,DM,23-265,90,33,33,0,0,0,0,0,0,0,0,0,0,26,0,0
27,Anthony Markanich,13,us USA,LB,23-250,61,24,20,3,1,0,0,3,2,0,0,0,0,10,1,1
27,Rasmus Alm,21,se SWE,LB,28-016,29,12,9,3,0,0,2,0,3,0,0,0,0,9,0,0
27,Joakim Nilsson,4,se SWE,CB,29-208,90,48,47,1,0,0,0,0,1,0,0,0,0,39,0,3
27,Tim Parker,26,us USA,CB,30-191,45,21,21,0,0,0,0,0,0,0,0,0,0,19,0,0
27,Joshua Yaro,15,gh GHA,CB,28-288,45,25,22,3,3,0,0,0,0,0,0,0,0,21,0,0
27,Kyle Hiebert,22,ca CAN,RB,26-034,90,22,18,4,0,0,0,0,4,0,0,0,0,15,0,0
27,Roman Burki,1,ch SUI,GK,32-292,90,39,30,8,5,0,0,0,0,0,0,0,0,26,1,0
