Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
27,Samuel Adeniran,16,us USA,FW,24-337,73,8,11,72.7,173,8,2,3,66.7,2,3,66.7,3,3,100,0,0,0,0,0,0,0,1
27,Aziel Jackson,25,fr FRA,FW,21-313,17,7,9,77.8,92,11,5,5,100,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0
27,Nokkvi Thorisson,29,is ISL,LW,24-020,90,18,25,72,234,46,12,15,80,6,6,100,0,2,0,0,0,0,1,0,0,0,2
27,Jared Stroud,8,us USA,RW,27-054,90,27,36,75,512,155,12,13,92.3,11,14,78.6,4,6,66.7,0,0.1,0.3,2,2,2,2,3
27,Tomas Ostrak,7,cz CZE,AM,23-209,45,5,11,45.5,142,83,0,1,0,3,3,100,2,5,40,0,0,0,0,1,0,0,4
27,Eduard Lowen,10,de GER,AM,26-217,45,19,28,67.9,345,170,8,11,72.7,8,9,88.9,2,5,40,0,0,0,0,5,0,0,7
27,Indiana Vassilev,19,us USA,DM,22-198,45,10,15,66.7,202,104,4,6,66.7,4,7,57.1,2,2,100,1,0,0,1,2,0,0,1
27,Klauss,9,br BRA,DM,26-185,45,7,10,70,68,10,4,5,80,2,2,100,0,0,0,0,0,0,0,0,0,0,0
27,Njabulo Blom,6,za RSA,DM,23-265,90,26,33,78.8,455,174,15,16,93.8,9,14,64.3,2,3,66.7,0,0,0,1,1,0,0,3
27,Anthony Markanich,13,us USA,LB,23-250,61,10,24,41.7,209,123,4,7,57.1,4,9,44.4,2,5,40,0,0,0,0,3,0,0,2
27,Rasmus Alm,21,se SWE,LB,28-016,29,9,12,75,198,84,7,7,100,0,1,0,2,3,66.7,0,0,0,1,2,0,0,3
27,Joakim Nilsson,4,se SWE,CB,29-208,90,39,48,81.3,774,398,11,12,91.7,24,25,96,4,7,57.1,0,0,0,0,4,0,0,5
27,Tim Parker,26,us USA,CB,30-191,45,19,21,90.5,375,96,3,4,75,15,15,100,1,2,50,0,0,0,0,0,0,0,1
27,Joshua Yaro,15,gh GHA,CB,28-288,45,21,25,84,422,103,5,7,71.4,15,16,93.8,1,2,50,0,0,0,0,0,0,0,1
27,Kyle Hiebert,22,ca CAN,RB,26-034,90,15,22,68.2,276,52,5,7,71.4,9,12,75,1,3,33.3,0,0,0,0,1,0,0,1
27,Roman Burki,1,ch SUI,GK,32-292,90,26,39,66.7,813,601,3,3,100,13,13,100,10,22,45.5,0,0,0,0,2,0,0,0
