Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
27,Samuel Adeniran,16,us USA,FW,24-337,73,24,2,5,9,11,3,24,2,1,50,1,50,12,84,37,1,2,1,3,1,11,2
27,Aziel Jackson,25,fr FRA,FW,21-313,17,12,0,0,4,8,1,12,2,2,100,0,0,9,89,45,1,0,1,1,0,11,2
27,Nokkvi Thorisson,29,is ISL,LW,24-020,90,39,1,6,17,17,1,39,3,0,0,3,100,23,156,40,1,4,0,1,1,23,5
27,Jared Stroud,8,us USA,RW,27-054,90,47,2,12,20,17,3,47,2,2,100,0,0,23,184,83,3,0,2,5,0,22,6
27,Tomas Ostrak,7,cz CZE,AM,23-209,45,19,0,3,10,7,0,19,3,1,33.3,2,66.7,9,65,53,1,0,0,1,1,10,1
27,Eduard Lowen,10,de GER,AM,26-217,45,34,0,11,15,9,0,34,1,0,0,1,100,21,132,35,1,2,0,1,2,23,2
27,Indiana Vassilev,19,us USA,DM,22-198,45,21,0,6,10,5,0,21,1,0,0,1,100,13,85,41,1,1,0,1,1,12,4
27,Klauss,9,br BRA,DM,26-185,45,13,0,0,7,6,1,13,1,0,0,1,100,12,42,7,0,0,0,0,1,13,4
27,Njabulo Blom,6,za RSA,DM,23-265,90,45,5,15,30,0,0,45,1,1,100,0,0,17,86,18,0,0,0,2,2,19,2
27,Anthony Markanich,13,us USA,LB,23-250,61,29,2,7,18,4,0,29,1,0,0,1,100,14,79,45,1,1,0,0,0,16,1
27,Rasmus Alm,21,se SWE,LB,28-016,29,16,0,5,7,5,0,16,0,0,0,0,0,5,13,2,0,0,0,0,1,5,1
27,Joakim Nilsson,4,se SWE,CB,29-208,90,61,8,35,24,2,0,61,0,0,0,0,0,30,206,123,1,1,0,0,1,31,0
27,Tim Parker,26,us USA,CB,30-191,45,24,2,12,11,1,0,24,0,0,0,0,0,10,45,10,0,0,0,0,0,12,0
27,Joshua Yaro,15,gh GHA,CB,28-288,45,31,4,17,14,0,0,31,0,0,0,0,0,16,85,55,0,0,0,0,0,14,0
27,Kyle Hiebert,22,ca CAN,RB,26-034,90,39,8,22,15,2,1,39,1,0,0,0,0,12,24,14,0,0,0,0,0,11,0
27,Roman Burki,1,ch SUI,GK,32-292,90,43,21,41,2,0,0,43,0,0,0,0,0,30,141,71,0,0,0,0,0,26,0
