Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
22,Nicholas Gioacchini,11,us USA,FW,22-352,68,15,14,1,0,0,0,0,0,0,0,0,0,10,0,0
22,Samuel Adeniran,16,us USA,FW,24-285,22,7,3,4,0,0,0,0,1,0,0,0,0,6,0,0
22,Tomas Ostrak,7,cz CZE,FW,23-157,78,21,21,0,0,0,0,0,0,0,0,0,0,15,0,1
22,Aziel Jackson,25,fr FRA,FW,21-261,12,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
22,Celio Pompeu,12,br BRA,LM,23-214,68,21,17,4,1,0,0,5,0,3,0,2,0,16,0,1
22,Eduard Lowen,10,de GER,LM,26-165,22,15,12,3,2,0,0,1,1,0,0,0,0,8,0,1
22,Indiana Vassilev,19,us USA,CM,22-146,90,23,18,5,3,0,0,4,0,2,0,2,0,13,0,0
22,Njabulo Blom,6,za RSA,CM,23-213,90,39,39,0,0,0,0,1,0,0,0,0,0,27,0,3
22,Rasmus Alm,21,se SWE,RM,27-329,56,13,12,1,1,0,0,2,0,0,0,0,0,6,0,0
22,Jared Stroud,8,us USA,RM,27-002,34,7,7,0,0,0,0,3,0,0,0,0,0,4,0,1
22,John Nelson,14,us USA,LB,25-001,90,38,29,9,0,0,0,1,9,0,0,0,0,23,0,2
22,Jon Bell,23,us USA,CB,25-320,68,33,32,1,1,0,0,0,0,0,0,0,0,22,0,1
22,Kyle Hiebert,22,ca CAN,CB,25-347,22,8,7,1,1,0,0,0,0,0,0,0,0,3,0,0
22,Lucas Bartlett,24,us USA,CB,25-351,90,36,36,0,0,0,0,0,0,0,0,0,0,27,0,0
22,Jake Nerwinski,2,us USA,RB,28-268,90,43,34,9,0,0,1,2,9,0,0,0,0,28,0,0
22,Roman Burki,1,ch SUI,GK,32-240,90,41,23,18,8,0,0,0,0,0,0,0,0,25,0,0
