Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
22,Nicholas Gioacchini,11,us USA,FW,22-352,68,10,15,66.7,124,8,9,11,81.8,0,2,0,1,2,50,0,0,0,0,1,0,0,0
22,Samuel Adeniran,16,us USA,FW,24-285,22,6,7,85.7,88,11,4,4,100,1,2,50,1,1,100,0,0,0,0,0,0,0,0
22,Tomas Ostrak,7,cz CZE,FW,23-157,78,15,21,71.4,194,44,8,11,72.7,6,7,85.7,0,1,0,0,0,0,0,1,0,0,4
22,Aziel Jackson,25,fr FRA,FW,21-261,12,2,3,66.7,34,4,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,1
22,Celio Pompeu,12,br BRA,LM,23-214,68,16,21,76.2,286,65,7,7,100,7,8,87.5,2,4,50,0,0.1,0.2,2,0,2,1,2
22,Eduard Lowen,10,de GER,LM,26-165,22,8,15,53.3,132,39,3,5,60,3,6,50,1,2,50,0,0,0,0,0,0,0,1
22,Indiana Vassilev,19,us USA,CM,22-146,90,13,23,56.5,194,75,7,10,70,5,10,50,1,3,33.3,0,0,0,1,1,0,0,1
22,Njabulo Blom,6,za RSA,CM,23-213,90,27,39,69.2,524,221,9,13,69.2,15,17,88.2,3,4,75,0,0,0,1,4,0,0,3
22,Rasmus Alm,21,se SWE,RM,27-329,56,6,13,46.2,92,31,4,6,66.7,2,4,50,0,3,0,0,0,0,0,1,0,0,1
22,Jared Stroud,8,us USA,RM,27-002,34,4,7,57.1,42,15,3,3,100,1,2,50,0,1,0,0,0,0,0,2,0,0,1
22,John Nelson,14,us USA,LB,25-001,90,23,38,60.5,363,104,12,14,85.7,11,13,84.6,0,9,0,0,0,0,0,0,0,0,3
22,Jon Bell,23,us USA,CB,25-320,68,22,33,66.7,509,223,4,5,80,13,16,81.3,5,10,50,0,0,0,0,2,0,0,1
22,Kyle Hiebert,22,ca CAN,CB,25-347,22,3,8,37.5,66,34,1,2,50,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0
22,Lucas Bartlett,24,us USA,CB,25-351,90,27,36,75,584,252,5,8,62.5,19,22,86.4,3,6,50,0,0.1,0,1,5,1,0,5
22,Jake Nerwinski,2,us USA,RB,28-268,90,28,43,65.1,374,229,19,23,82.6,7,15,46.7,1,4,25,0,0,0,1,4,0,0,5
22,Roman Burki,1,ch SUI,GK,32-240,90,25,41,61,969,854,2,2,100,10,10,100,13,29,44.8,0,0,0,0,1,0,0,0
