Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
22,Nicholas Gioacchini,11,us USA,FW,22-352,68,23,0,0,7,16,2,23,0,0,0,0,0,8,21,3,0,0,0,3,0,14,2
22,Samuel Adeniran,16,us USA,FW,24-285,22,12,0,0,4,8,1,12,0,0,0,0,0,4,34,9,0,1,1,3,0,5,0
22,Tomas Ostrak,7,cz CZE,FW,23-157,78,30,0,3,12,17,2,30,3,2,66.7,1,33.3,20,151,63,2,4,0,1,4,24,6
22,Aziel Jackson,25,fr FRA,FW,21-261,12,8,0,2,4,2,0,8,0,0,0,0,0,3,7,0,0,0,0,1,2,5,0
22,Celio Pompeu,12,br BRA,LM,23-214,68,32,0,2,7,23,1,32,6,2,33.3,4,66.7,20,212,96,5,3,1,1,2,19,4
22,Eduard Lowen,10,de GER,LM,26-165,22,19,1,4,9,6,0,19,1,0,0,1,100,7,30,10,0,0,0,1,1,9,2
22,Indiana Vassilev,19,us USA,CM,22-146,90,28,0,8,11,10,0,28,3,1,33.3,2,66.7,14,56,17,0,0,0,0,2,13,1
22,Njabulo Blom,6,za RSA,CM,23-213,90,50,2,10,32,8,0,50,3,3,100,0,0,19,136,44,1,0,0,2,0,21,1
22,Rasmus Alm,21,se SWE,RM,27-329,56,16,0,3,4,9,3,16,0,0,0,0,0,9,66,30,2,0,1,0,0,9,4
22,Jared Stroud,8,us USA,RM,27-002,34,12,0,1,4,8,0,12,1,0,0,1,100,8,94,58,3,1,0,1,0,9,4
22,John Nelson,14,us USA,LB,25-001,90,50,4,20,16,14,0,50,0,0,0,0,0,15,109,51,1,2,0,1,0,17,0
22,Jon Bell,23,us USA,CB,25-320,68,39,4,21,18,0,0,39,0,0,0,0,0,18,89,37,0,0,0,0,0,20,0
22,Kyle Hiebert,22,ca CAN,CB,25-347,22,13,2,11,2,0,0,13,0,0,0,0,0,5,22,12,0,0,0,0,0,4,0
22,Lucas Bartlett,24,us USA,CB,25-351,90,49,6,26,22,2,1,49,0,0,0,0,0,19,114,73,1,0,0,0,1,23,1
22,Jake Nerwinski,2,us USA,RB,28-268,90,56,3,11,26,19,0,56,1,0,0,1,100,22,170,82,4,5,0,3,0,26,3
22,Roman Burki,1,ch SUI,GK,32-240,90,43,31,42,1,0,0,43,0,0,0,0,0,18,99,46,0,0,0,0,0,14,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
