Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
30,Samuel Adeniran,16,us USA,FW,24-355,77,5,9,55.6,65,14,4,5,80,0,2,0,1,2,50,0,0,0,0,1,1,0,2
30,Nokkvi Thorisson,29,is ISL,FW,24-038,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Klauss,9,br BRA,FW,26-203,90,10,19,52.6,228,97,3,7,42.9,5,6,83.3,2,4,50,0,0.1,0.1,2,1,0,0,3
30,Aziel Jackson,25,fr FRA,AM,21-331,58,11,15,73.3,149,42,6,6,100,5,7,71.4,0,0,0,0,0,0.1,0,0,1,0,4
30,Nicholas Gioacchini,11,us USA,AM,23-057,32,5,8,62.5,92,10,2,3,66.7,2,3,66.7,1,2,50,0,0,0,0,1,0,0,1
30,Eduard Lowen,10,de GER,LM,26-235,90,37,54,68.5,748,326,17,23,73.9,12,15,80,7,13,53.8,0,0.1,0.2,2,8,3,1,5
30,Njabulo Blom,6,za RSA,CM,23-283,57,22,25,88,385,56,9,9,100,11,12,91.7,2,4,50,0,0,0,0,2,0,0,2
30,Jake Nerwinski,2,us USA,RB,28-338,33,21,32,65.6,385,251,8,12,66.7,12,15,80,1,4,25,0,0,0,0,2,0,0,2
30,Indiana Vassilev,19,us USA,RM,22-216,87,22,31,71,354,34,15,18,83.3,5,6,83.3,2,4,50,0,0,0.1,0,0,0,0,2
30,Tomas Ostrak,7,cz CZE,RM,23-227,3,4,4,100,65,10,3,3,100,0,0,0,1,1,100,0,0,0,0,0,0,0,0
30,Anthony Markanich,13,us USA,LB,23-268,90,31,49,63.3,628,250,14,16,87.5,12,21,57.1,5,12,41.7,0,0.1,0,2,3,0,0,2
30,Joakim Nilsson,4,se SWE,CB,29-226,90,49,55,89.1,1031,458,15,16,93.8,30,32,93.8,4,7,57.1,0,0,0,0,0,0,0,0
30,Tim Parker,26,us USA,CB,30-209,90,62,70,88.6,1171,451,18,20,90,44,46,95.7,0,3,0,0,0,0,1,1,0,0,6
30,Akil Watts,20,us USA,"RB,CM",23-228,77,20,37,54.1,353,57,9,14,64.3,10,13,76.9,1,9,11.1,0,0.1,0.1,1,0,1,1,0
30,Jared Stroud,8,us USA,CM,27-072,13,5,10,50,66,14,2,4,50,2,2,100,0,1,0,0,0,0,0,0,0,0,0
30,Roman Burki,1,ch SUI,GK,32-310,90,29,39,74.4,825,664,8,8,100,12,12,100,9,19,47.4,0,0.1,0,1,2,1,0,0
