Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
28,Samuel Adeniran,16,us USA,FW,24-345,59,6,10,60,81,22,4,4,100,2,4,50,0,1,0,0,0,0,0,1,0,0,1
28,Klauss,9,br BRA,FW,26-193,70,13,20,65,229,51,8,10,80,3,4,75,2,2,100,0,0.1,0.1,1,2,2,1,2
28,Nicholas Gioacchini,11,us USA,FW,23-047,20,4,5,80,83,0,1,1,100,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0
28,Aziel Jackson,25,fr FRA,LM,21-321,78,16,26,61.5,270,36,9,11,81.8,6,8,75,1,3,33.3,1,0.3,0,1,2,1,0,2
28,Nokkvi Thorisson,29,is ISL,LM,24-028,12,5,5,100,49,0,4,4,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0
28,Eduard Lowen,10,de GER,CM,26-225,77,24,30,80,426,191,9,9,100,12,15,80,3,6,50,0,0,0.2,0,4,1,0,8
28,Joshua Yaro,15,gh GHA,CM,28-296,13,1,2,50,16,16,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0
28,Njabulo Blom,6,za RSA,CM,23-273,90,21,32,65.6,392,113,8,9,88.9,8,12,66.7,4,9,44.4,0,0,0,0,3,0,0,0
28,Jared Stroud,8,us USA,RM,27-062,89,10,17,58.8,151,26,7,8,87.5,3,3,100,0,2,0,0,0,0,0,0,0,0,0
28,Indiana Vassilev,19,us USA,RM,22-206,1,2,5,40,47,24,0,0,0,2,2,100,0,2,0,0,0,0,0,0,0,0,0
28,Anthony Markanich,13,us USA,LB,23-258,90,29,38,76.3,503,239,11,14,78.6,16,20,80,1,3,33.3,0,0,0,0,3,0,0,2
28,Joakim Nilsson,4,se SWE,CB,29-216,77,14,15,93.3,228,133,7,7,100,7,7,100,0,1,0,0,0,0,1,0,0,0,0
28,Kyle Hiebert,22,ca CAN,CB,26-042,13,1,1,100,14,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Tim Parker,26,us USA,CB,30-199,90,14,16,87.5,304,158,4,4,100,8,9,88.9,2,3,66.7,0,0,0,0,2,0,0,2
28,Akil Watts,20,us USA,RB,23-218,90,18,31,58.1,368,198,7,10,70,8,10,80,3,8,37.5,0,0,0,0,3,0,0,0
28,Roman Burki,1,ch SUI,GK,32-300,90,15,38,39.5,467,414,3,3,100,6,6,100,6,29,20.7,0,0,0,0,0,0,0,0
