Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
28,Samuel Adeniran,16,us USA,FW,24-345,59,21,0,1,10,12,2,21,3,2,66.7,1,33.3,12,103,47,2,2,0,5,0,14,2
28,Klauss,9,br BRA,FW,26-193,70,30,2,4,18,10,1,30,2,0,0,2,100,10,51,26,0,0,0,0,4,19,3
28,Nicholas Gioacchini,11,us USA,FW,23-047,20,8,0,2,4,2,0,8,0,0,0,0,0,3,15,10,0,0,0,2,0,3,0
28,Aziel Jackson,25,fr FRA,LM,21-321,78,37,1,8,17,14,3,37,1,1,100,0,0,22,172,77,2,2,1,3,1,23,6
28,Nokkvi Thorisson,29,is ISL,LM,24-028,12,10,2,5,4,1,0,10,0,0,0,0,0,3,15,15,0,0,0,2,0,4,0
28,Eduard Lowen,10,de GER,CM,26-225,77,38,0,9,22,8,1,38,1,0,0,1,100,21,224,142,4,1,1,2,1,26,0
28,Joshua Yaro,15,gh GHA,CM,28-296,13,4,1,3,1,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
28,Njabulo Blom,6,za RSA,CM,23-273,90,43,7,15,29,5,0,43,1,1,100,0,0,21,170,39,0,0,0,2,0,17,0
28,Jared Stroud,8,us USA,RM,27-062,89,26,2,7,15,6,1,26,2,0,0,1,50,12,111,25,1,2,0,0,0,10,1
28,Indiana Vassilev,19,us USA,RM,22-206,1,6,0,2,2,2,0,6,1,0,0,1,100,4,21,5,0,0,0,0,0,2,0
28,Anthony Markanich,13,us USA,LB,23-258,90,49,3,19,23,8,2,49,0,0,0,0,0,13,95,65,3,2,1,0,0,23,2
28,Joakim Nilsson,4,se SWE,CB,29-216,77,29,11,23,5,1,1,29,0,0,0,0,0,8,48,21,0,0,0,1,0,10,0
28,Kyle Hiebert,22,ca CAN,CB,26-042,13,8,1,8,0,0,0,8,0,0,0,0,0,2,14,0,0,1,0,1,1,0,0
28,Tim Parker,26,us USA,CB,30-199,90,30,9,22,8,0,0,30,0,0,0,0,0,8,44,26,0,1,0,0,0,9,0
28,Akil Watts,20,us USA,RB,23-218,90,41,1,15,15,12,0,41,0,0,0,0,0,14,140,93,2,2,0,3,1,18,2
28,Roman Burki,1,ch SUI,GK,32-300,90,41,32,41,0,0,0,41,0,0,0,0,0,21,179,83,0,0,0,0,0,13,0
