Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
16,Nicholas Gioacchini,11,us USA,FW,22-321,90,14,18,77.8,196,60,9,12,75,3,3,100,1,1,100,0,0,0,1,1,1,0,2
16,Jared Stroud,8,us USA,LW,26-336,77,24,41,58.5,356,88,15,23,65.2,8,10,80,1,4,25,0,0,0,0,1,0,0,1
16,Aziel Jackson,25,fr FRA,LW,21-230,13,6,7,85.7,92,49,4,4,100,2,2,100,0,0,0,0,0,0,0,1,1,0,3
16,Rasmus Alm,21,se SWE,RW,27-298,55,14,17,82.4,213,66,9,9,100,3,5,60,2,3,66.7,0,0.6,0.4,2,1,1,1,1
16,Celio Pompeu,12,br BRA,RW,23-183,35,10,16,62.5,102,30,9,11,81.8,1,3,33.3,0,0,0,0,0,0,1,0,2,0,2
16,Indiana Vassilev,19,us USA,AM,22-115,77,24,29,82.8,380,110,15,17,88.2,4,4,100,4,5,80,1,0.3,0.3,6,0,3,2,4
16,Tomas Ostrak,7,cz CZE,AM,23-126,13,3,4,75,53,27,1,2,50,2,2,100,0,0,0,0,0,0,1,1,0,0,3
16,Eduard Lowen,10,de GER,DM,26-134,90,45,63,71.4,782,287,23,27,85.2,14,18,77.8,7,13,53.8,0,0,0.1,0,10,1,1,8
16,Njabulo Blom,6,za RSA,DM,23-182,90,35,41,85.4,485,189,23,24,95.8,11,14,78.6,1,2,50,0,0,0,1,7,0,0,8
16,Kyle Hiebert,22,ca CAN,LB,25-316,90,36,48,75,605,228,16,19,84.2,16,23,69.6,3,4,75,0,0,0,1,5,0,0,4
16,Tim Parker,26,us USA,CB,30-108,90,42,48,87.5,813,396,11,12,91.7,27,30,90,4,5,80,0,0,0,1,3,0,0,7
16,Lucas Bartlett,24,us USA,CB,25-320,90,32,36,88.9,638,227,8,8,100,21,21,100,3,5,60,0,0,0,1,4,0,0,4
16,Jake Nerwinski,2,us USA,RB,28-237,90,47,62,75.8,754,363,25,31,80.6,17,25,68,4,4,100,0,0.2,0.4,2,3,4,3,5
16,Roman Burki,1,ch SUI,GK,32-209,90,25,35,71.4,734,590,3,3,100,11,11,100,11,21,52.4,0,0,0,0,2,0,0,0
