Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
16,Nicholas Gioacchini,11,us USA,FW,22-321,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Jared Stroud,8,us USA,LW,26-336,77,2,1,1,0,1,0,3,0,3,1,0,1,1,3,1,0
16,Aziel Jackson,25,fr FRA,LW,21-230,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Rasmus Alm,21,se SWE,RW,27-298,55,2,1,1,1,0,2,2,100,0,1,0,1,0,2,1,0
16,Celio Pompeu,12,br BRA,RW,23-183,35,2,2,1,1,0,1,1,100,0,0,0,0,0,2,0,0
16,Indiana Vassilev,19,us USA,AM,22-115,77,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
16,Tomas Ostrak,7,cz CZE,AM,23-126,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Eduard Lowen,10,de GER,DM,26-134,90,4,3,0,4,0,3,3,100,0,2,1,1,0,4,1,0
16,Njabulo Blom,6,za RSA,DM,23-182,90,1,0,0,1,0,0,3,0,3,1,0,1,3,4,0,0
16,Kyle Hiebert,22,ca CAN,LB,25-316,90,2,0,2,0,0,1,2,50,1,5,0,5,2,4,2,0
16,Tim Parker,26,us USA,CB,30-108,90,4,4,2,1,1,3,3,100,0,1,1,0,2,6,3,0
16,Lucas Bartlett,24,us USA,CB,25-320,90,1,0,0,1,0,0,1,0,1,2,0,2,5,6,1,0
16,Jake Nerwinski,2,us USA,RB,28-237,90,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,1
16,Roman Burki,1,ch SUI,GK,32-209,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
