Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
16,Nicholas Gioacchini,11,us USA,FW,22-321,90,18,17,1,0,0,0,0,0,0,0,0,0,14,0,0
16,Jared Stroud,8,us USA,LW,26-336,77,41,39,2,0,1,0,7,2,0,0,0,0,24,0,3
16,Aziel Jackson,25,fr FRA,LW,21-230,13,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
16,Rasmus Alm,21,se SWE,RW,27-298,55,17,17,0,0,0,0,1,0,0,0,0,0,14,0,0
16,Celio Pompeu,12,br BRA,RW,23-183,35,16,16,0,0,0,0,1,0,0,0,0,0,10,0,2
16,Indiana Vassilev,19,us USA,AM,22-115,77,29,27,2,0,0,0,3,0,1,0,1,0,24,0,2
16,Tomas Ostrak,7,cz CZE,AM,23-126,13,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
16,Eduard Lowen,10,de GER,DM,26-134,90,63,54,9,3,0,0,7,0,6,2,2,0,45,0,3
16,Njabulo Blom,6,za RSA,DM,23-182,90,41,41,0,0,0,0,0,0,0,0,0,0,35,0,1
16,Kyle Hiebert,22,ca CAN,LB,25-316,90,48,42,6,0,0,0,0,6,0,0,0,0,36,0,1
16,Tim Parker,26,us USA,CB,30-108,90,48,46,2,2,0,0,0,0,0,0,0,0,42,0,0
16,Lucas Bartlett,24,us USA,CB,25-320,90,36,34,2,2,0,0,0,0,0,0,0,0,32,0,0
16,Jake Nerwinski,2,us USA,RB,28-237,90,62,43,19,0,0,0,6,19,0,0,0,0,47,0,0
16,Roman Burki,1,ch SUI,GK,32-209,90,35,28,7,1,0,0,0,0,0,0,0,0,25,0,0
