Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
16,Nicholas Gioacchini,11,us USA,FW,22-321,90,28,1,1,9,18,2,28,2,0,0,2,100,20,79,29,0,0,0,1,1,23,5
16,Jared Stroud,8,us USA,LW,26-336,77,53,1,6,17,31,8,53,1,0,0,1,100,30,217,111,4,2,2,2,1,35,13
16,Aziel Jackson,25,fr FRA,LW,21-230,13,7,0,1,2,4,1,7,0,0,0,0,0,4,24,17,1,0,1,0,0,6,2
16,Rasmus Alm,21,se SWE,RW,27-298,55,24,0,2,8,14,1,24,1,0,0,1,100,11,78,59,2,2,0,0,0,14,4
16,Celio Pompeu,12,br BRA,RW,23-183,35,25,0,1,6,19,5,25,3,2,66.7,0,0,17,123,66,3,1,2,1,3,16,6
16,Indiana Vassilev,19,us USA,AM,22-115,77,40,0,0,11,30,2,40,4,2,50,2,50,28,166,74,1,4,1,2,3,31,7
16,Tomas Ostrak,7,cz CZE,AM,23-126,13,5,0,0,1,4,0,5,0,0,0,0,0,5,62,45,2,2,0,0,0,5,3
16,Eduard Lowen,10,de GER,DM,26-134,90,86,1,4,44,38,1,86,3,1,33.3,2,66.7,44,259,137,4,2,0,4,4,60,5
16,Njabulo Blom,6,za RSA,DM,23-182,90,50,2,8,31,13,0,50,1,1,100,0,0,26,98,31,0,0,0,2,1,29,0
16,Kyle Hiebert,22,ca CAN,LB,25-316,90,60,4,16,31,13,2,60,0,0,0,0,0,27,105,32,0,2,0,0,0,28,3
16,Tim Parker,26,us USA,CB,30-108,90,59,10,28,27,5,4,59,0,0,0,0,0,28,189,116,1,0,0,0,1,32,0
16,Lucas Bartlett,24,us USA,CB,25-320,90,48,4,21,24,3,2,48,1,0,0,1,100,21,155,90,1,0,0,2,0,22,0
16,Jake Nerwinski,2,us USA,RB,28-237,90,65,2,11,25,29,2,65,1,0,0,1,100,30,145,79,5,2,2,0,1,32,3
16,Roman Burki,1,ch SUI,GK,32-209,90,37,25,37,0,0,0,37,0,0,0,0,0,24,171,97,0,0,0,0,0,17,0
