Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
23,Rasmus Alm,21,se SWE,FW,27-332,59,3,7,42.9,37,32,2,2,100,1,1,100,0,0,0,0,0.1,0,1,0,1,0,2
23,Nicholas Gioacchini,11,us USA,FW,22-355,31,10,13,76.9,116,11,7,9,77.8,3,3,100,0,0,0,0,0.1,0.1,1,0,1,0,1
23,Samuel Adeniran,16,us USA,FW,24-288,68,1,12,8.3,18,0,0,6,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0
23,Tomas Ostrak,7,cz CZE,FW,23-160,22,5,5,100,101,31,2,2,100,2,2,100,1,1,100,0,0,0,0,0,0,0,1
23,Aziel Jackson,25,fr FRA,AM,21-264,69,23,27,85.2,404,199,8,10,80,7,7,100,4,4,100,1,0.6,0.8,3,2,4,1,5
23,Celio Pompeu,12,br BRA,AM,23-217,21,6,9,66.7,76,43,4,5,80,2,2,100,0,1,0,0,0,0.1,1,0,2,1,1
23,Jared Stroud,8,us USA,LM,27-005,90,15,27,55.6,191,35,8,13,61.5,4,5,80,1,3,33.3,0,0,0,1,0,0,0,1
23,Indiana Vassilev,19,us USA,RM,22-149,60,13,20,65,254,136,6,8,75,2,2,100,4,8,50,1,0.1,0.1,2,3,0,0,3
23,Eduard Lowen,10,de GER,RM,26-168,30,16,26,61.5,236,121,8,10,80,4,11,36.4,2,2,100,0,0.1,0,1,2,1,0,2
23,Njabulo Blom,6,za RSA,DM,23-216,90,32,35,91.4,414,184,18,19,94.7,8,8,100,1,3,33.3,0,0,0,2,5,0,0,8
23,Kyle Hiebert,22,ca CAN,LB,25-350,90,21,31,67.7,321,212,11,14,78.6,9,12,75,0,4,0,0,0,0,0,1,0,0,2
23,Tim Parker,26,us USA,CB,30-142,90,23,31,74.2,492,210,6,6,100,15,20,75,2,5,40,0,0,0,0,2,0,0,3
23,Joshua Yaro,15,gh GHA,CB,28-239,90,28,34,82.4,622,233,7,7,100,17,19,89.5,4,8,50,0,0,0,1,3,0,0,2
23,Akil Watts,20,us USA,RB,23-161,77,16,25,64,300,193,6,9,66.7,8,9,88.9,2,5,40,0,0,0,1,2,0,0,2
23,Jake Nerwinski,2,us USA,RB,28-271,13,2,4,50,36,30,1,1,100,1,1,100,0,2,0,0,0,0,0,0,0,0,0
23,Roman Burki,1,ch SUI,GK,32-243,90,24,35,68.6,717,552,6,6,100,10,10,100,8,19,42.1,0,0.1,0,1,1,0,0,0
