Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
23,Rasmus Alm,21,se SWE,FW,27-332,59,12,0,1,4,7,2,12,0,0,0,0,0,7,20,14,0,0,0,2,0,6,2
23,Nicholas Gioacchini,11,us USA,FW,22-355,31,18,0,0,4,14,4,18,3,2,66.7,1,33.3,13,83,20,1,0,1,0,1,15,3
23,Samuel Adeniran,16,us USA,FW,24-288,68,24,1,2,9,13,3,24,3,1,33.3,2,66.7,12,42,10,0,2,0,2,0,18,7
23,Tomas Ostrak,7,cz CZE,FW,23-160,22,10,0,2,3,5,0,10,2,0,0,2,100,7,32,11,0,1,0,1,1,6,1
23,Aziel Jackson,25,fr FRA,AM,21-264,69,39,0,6,15,19,2,39,4,2,50,2,50,23,114,28,1,1,0,2,1,19,3
23,Celio Pompeu,12,br BRA,AM,23-217,21,14,1,4,2,9,3,14,4,3,75,0,0,10,158,119,5,3,2,0,0,9,3
23,Jared Stroud,8,us USA,LM,27-005,90,44,2,7,14,24,6,44,2,0,0,2,100,27,184,66,2,1,0,1,1,27,9
23,Indiana Vassilev,19,us USA,RM,22-149,60,29,2,5,16,9,0,29,3,2,66.7,1,33.3,13,81,63,1,1,0,0,0,10,3
23,Eduard Lowen,10,de GER,RM,26-168,30,33,0,5,11,18,0,33,2,2,100,0,0,19,51,20,0,0,1,0,1,18,0
23,Njabulo Blom,6,za RSA,DM,23-216,90,45,1,12,22,12,0,45,2,0,0,2,100,31,111,31,0,1,0,2,4,26,1
23,Kyle Hiebert,22,ca CAN,LB,25-350,90,33,1,13,10,10,2,33,0,0,0,0,0,13,35,12,0,1,0,0,0,11,0
23,Tim Parker,26,us USA,CB,30-142,90,40,6,25,12,3,2,40,0,0,0,0,0,26,142,74,0,0,0,0,0,25,0
23,Joshua Yaro,15,gh GHA,CB,28-239,90,43,5,23,20,0,0,43,0,0,0,0,0,27,120,73,0,0,0,1,0,22,0
23,Akil Watts,20,us USA,RB,23-161,77,34,4,15,14,6,0,34,0,0,0,0,0,12,31,2,0,0,0,1,0,8,1
23,Jake Nerwinski,2,us USA,RB,28-271,13,6,1,1,2,3,0,6,0,0,0,0,0,3,11,7,0,0,0,0,0,2,0
23,Roman Burki,1,ch SUI,GK,32-243,90,37,26,37,0,0,0,37,0,0,0,0,0,24,91,59,0,0,0,0,0,14,0
