Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
6,Nicholas Gioacchini,11,us USA,FW,22-250,59,16,24,66.7,160,34,13,16,81.3,2,5,40,0,0,0,0,0,0,1,0,0,0,0
6,Samuel Adeniran,16,us USA,FW,24-183,31,5,5,100,83,4,2,2,100,0,0,0,1,1,100,0,0,0,0,0,0,0,0
6,Klauss,9,br BRA,FW,26-031,90,19,31,61.3,279,119,13,18,72.2,3,9,33.3,2,2,100,0,0.1,0.1,2,6,2,1,1
6,Tomas Ostrak,7,cz CZE,LM,23-055,77,23,28,82.1,341,54,11,14,78.6,12,13,92.3,0,1,0,0,0,0,1,2,1,0,5
6,Aziel Jackson,25,fr FRA,LM,21-159,13,10,12,83.3,156,38,3,4,75,4,4,100,1,2,50,0,0.1,0.1,1,0,2,1,2
6,Eduard Lowen,10,de GER,CM,26-063,90,50,71,70.4,1081,526,17,25,68,23,29,79.3,10,16,62.5,0,0.2,0.2,2,8,2,1,12
6,Indiana Vassilev,19,us USA,CM,22-044,85,23,32,71.9,457,133,9,11,81.8,10,15,66.7,4,5,80,0,0,0.1,1,2,2,0,5
6,Isak Jensen,30,dk DEN,CM,19-099,5,1,1,100,15,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0
6,Jared Stroud,8,us USA,RM,26-265,59,14,20,70,243,99,6,8,75,7,8,87.5,1,2,50,0,0,0.1,0,0,2,1,2
6,Njabulo Blom,6,za RSA,RM,23-111,31,14,16,87.5,292,125,4,4,100,8,8,100,2,4,50,0,0,0,0,1,0,0,0
6,John Nelson,14,us USA,LB,24-264,90,41,51,80.4,739,231,16,18,88.9,21,24,87.5,4,6,66.7,0,0.2,0.3,3,4,1,1,8
6,Kyle Hiebert,22,ca CAN,CB,25-245,90,54,64,84.4,1047,295,13,17,76.5,39,42,92.9,2,4,50,0,0,0.1,1,7,1,0,7
6,Tim Parker,26,us USA,CB,30-037,90,71,83,85.5,1474,632,18,20,90,45,51,88.2,8,12,66.7,0,0,0,0,9,0,0,8
6,Jake Nerwinski,2,us USA,RB,28-166,77,20,28,71.4,345,245,9,12,75,9,13,69.2,1,2,50,0,0.1,0.2,1,0,0,0,1
6,Akil Watts,20,us USA,RB,23-056,13,10,14,71.4,105,29,9,9,100,1,2,50,0,1,0,0,0,0,0,0,0,0,1
6,Roman Burki,1,ch SUI,GK,32-138,90,30,38,78.9,904,735,6,6,100,16,16,100,8,16,50,0,0,0,0,1,0,0,0
