Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
6,Nicholas Gioacchini,11,us USA,FW,22-250,59,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,Samuel Adeniran,16,us USA,FW,24-183,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,Klauss,9,br BRA,FW,26-031,90,1,1,0,0,1,1,1,100,0,1,0,1,0,1,2,0
6,Tomas Ostrak,7,cz CZE,LM,23-055,77,2,1,0,2,0,1,2,50,1,0,0,0,0,2,0,0
6,Aziel Jackson,25,fr FRA,LM,21-159,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Eduard Lowen,10,de GER,CM,26-063,90,2,1,0,0,2,2,3,66.7,1,1,0,1,1,3,2,0
6,Indiana Vassilev,19,us USA,CM,22-044,85,2,2,0,1,1,1,4,25,3,3,0,3,1,3,0,0
6,Isak Jensen,30,dk DEN,CM,19-099,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Jared Stroud,8,us USA,RM,26-265,59,1,1,0,0,1,1,4,25,3,0,0,0,0,1,0,1
6,Njabulo Blom,6,za RSA,RM,23-111,31,3,1,1,1,1,2,2,100,0,0,0,0,0,3,0,0
6,John Nelson,14,us USA,LB,24-264,90,1,0,0,1,0,1,1,100,0,3,0,3,0,1,4,0
6,Kyle Hiebert,22,ca CAN,CB,25-245,90,6,3,3,3,0,2,2,100,0,2,2,0,2,8,2,0
6,Tim Parker,26,us USA,CB,30-037,90,3,2,2,1,0,2,2,100,0,1,1,0,4,7,4,0
6,Jake Nerwinski,2,us USA,RB,28-166,77,1,0,0,1,0,1,4,25,3,1,0,1,2,3,4,0
6,Akil Watts,20,us USA,RB,23-056,13,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Roman Burki,1,ch SUI,GK,32-138,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
