Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
31,Nicholas Gioacchini,11,us USA,"FW,AM",23-060,82,1,1,0,1,0,1,1,100,0,1,0,1,0,1,2,0
31,Akil Watts,20,us USA,AM,23-231,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Celio Pompeu,12,br BRA,LW,23-287,90,4,4,1,2,1,1,2,50,1,0,0,0,1,5,1,0
31,Jared Stroud,8,us USA,RW,27-075,57,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
31,Klauss,9,br BRA,FW,26-206,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
31,Tomas Ostrak,7,cz CZE,AM,23-230,58,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
31,Aziel Jackson,25,fr FRA,RW,21-334,32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
31,Indiana Vassilev,19,us USA,DM,22-219,57,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
31,Eduard Lowen,10,de GER,DM,26-238,33,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0
31,Njabulo Blom,6,za RSA,DM,23-286,90,4,1,2,2,0,2,4,50,2,0,0,0,3,7,2,0
31,Kyle Hiebert,22,ca CAN,"LB,CB",26-055,90,0,0,0,0,0,0,1,0,1,3,0,3,3,3,11,0
31,Jon Bell,23,us USA,CB,26-028,73,1,1,1,0,0,1,2,50,1,2,1,1,1,2,4,0
31,Anthony Markanich,13,us USA,LB,23-271,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
31,Joshua Yaro,15,gh GHA,CB,28-309,90,3,1,3,0,0,1,1,100,0,1,1,0,2,5,11,0
31,Jake Nerwinski,2,us USA,RB,28-341,90,1,1,1,0,0,1,1,100,0,2,0,2,1,2,4,0
31,Roman Burki,1,ch SUI,GK,32-313,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
