Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
31,Nicholas Gioacchini,11,us USA,"FW,AM",23-060,82,19,18,1,0,0,0,0,0,0,0,0,0,13,0,1
31,Akil Watts,20,us USA,AM,23-231,8,4,3,1,0,0,0,0,1,0,0,0,0,1,0,0
31,Celio Pompeu,12,br BRA,LW,23-287,90,32,32,0,0,0,0,3,0,0,0,0,0,25,0,4
31,Jared Stroud,8,us USA,RW,27-075,57,12,12,0,0,0,0,2,0,0,0,0,0,5,0,3
31,Klauss,9,br BRA,FW,26-206,33,9,9,0,0,0,0,0,0,0,0,0,0,6,0,1
31,Tomas Ostrak,7,cz CZE,AM,23-230,58,20,18,2,0,0,0,1,0,1,0,1,0,19,0,0
31,Aziel Jackson,25,fr FRA,RW,21-334,32,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
31,Indiana Vassilev,19,us USA,DM,22-219,57,33,29,4,2,0,0,5,0,2,0,2,0,24,0,1
31,Eduard Lowen,10,de GER,DM,26-238,33,21,17,4,4,0,0,1,0,0,0,0,0,14,0,0
31,Njabulo Blom,6,za RSA,DM,23-286,90,29,29,0,0,0,0,1,0,0,0,0,0,25,0,0
31,Kyle Hiebert,22,ca CAN,"LB,CB",26-055,90,41,30,11,0,0,0,0,11,0,0,0,0,33,0,0
31,Jon Bell,23,us USA,CB,26-028,73,32,29,3,3,0,0,0,0,0,0,0,0,28,0,0
31,Anthony Markanich,13,us USA,LB,23-271,17,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
31,Joshua Yaro,15,gh GHA,CB,28-309,90,24,24,0,0,0,0,0,0,0,0,0,0,19,0,0
31,Jake Nerwinski,2,us USA,RB,28-341,90,32,24,8,0,0,0,2,8,0,0,0,0,21,0,0
31,Roman Burki,1,ch SUI,GK,32-313,90,46,28,18,2,0,0,0,0,0,0,0,0,32,0,0
