Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
31,Nicholas Gioacchini,11,us USA,"FW,AM",23-060,82,13,19,68.4,164,65,7,9,77.8,5,8,62.5,0,0,0,0,0.1,0,1,2,0,0,2
31,Akil Watts,20,us USA,AM,23-231,8,1,4,25,13,0,1,1,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0
31,Celio Pompeu,12,br BRA,LW,23-287,90,25,32,78.1,335,89,15,15,100,9,10,90,1,3,33.3,0,0.3,0.2,3,2,1,0,3
31,Jared Stroud,8,us USA,RW,27-075,57,5,12,41.7,121,15,1,1,100,2,3,66.7,2,4,50,0,0,0,0,1,0,0,1
31,Klauss,9,br BRA,FW,26-206,33,6,9,66.7,112,76,2,3,66.7,4,4,100,0,0,0,0,0,0,0,1,2,0,5
31,Tomas Ostrak,7,cz CZE,AM,23-230,58,19,20,95,296,60,9,9,100,8,8,100,1,2,50,0,0.4,0.1,2,1,0,0,0
31,Aziel Jackson,25,fr FRA,RW,21-334,32,12,13,92.3,190,5,6,6,100,6,7,85.7,0,0,0,1,0.1,0.1,2,0,0,0,1
31,Indiana Vassilev,19,us USA,DM,22-219,57,24,33,72.7,444,205,13,13,100,6,12,50,5,7,71.4,0,0.1,0.1,2,6,0,0,3
31,Eduard Lowen,10,de GER,DM,26-238,33,14,21,66.7,234,86,6,7,85.7,6,9,66.7,2,5,40,0,0,0,0,4,1,0,1
31,Njabulo Blom,6,za RSA,DM,23-286,90,25,29,86.2,468,151,9,9,100,14,16,87.5,2,4,50,0,0,0,1,3,0,0,4
31,Kyle Hiebert,22,ca CAN,"LB,CB",26-055,90,33,41,80.5,622,310,11,16,68.8,19,21,90.5,3,3,100,0,0,0,0,2,0,0,2
31,Jon Bell,23,us USA,CB,26-028,73,28,32,87.5,558,226,5,6,83.3,20,21,95.2,3,5,60,0,0,0,0,1,0,0,0
31,Anthony Markanich,13,us USA,LB,23-271,17,5,7,71.4,72,34,4,5,80,1,2,50,0,0,0,0,0.1,0,1,0,0,0,0
31,Joshua Yaro,15,gh GHA,CB,28-309,90,19,24,79.2,415,97,2,3,66.7,15,17,88.2,2,4,50,0,0,0,0,0,0,0,0
31,Jake Nerwinski,2,us USA,RB,28-341,90,21,32,65.6,411,211,6,11,54.5,12,16,75,2,4,50,1,0.2,0.1,1,4,2,2,4
31,Roman Burki,1,ch SUI,GK,32-313,90,32,46,69.6,947,780,4,4,100,17,17,100,11,25,44,0,0,0,0,1,0,0,0
