Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
31,Nicholas Gioacchini,11,us USA,"FW,AM",23-060,82,30,2,2,14,14,5,30,0,0,0,0,0,17,79,42,1,1,0,5,2,28,6
31,Akil Watts,20,us USA,AM,23-231,8,4,0,0,3,1,0,4,0,0,0,0,0,1,6,4,0,0,0,0,0,1,0
31,Celio Pompeu,12,br BRA,LW,23-287,90,45,2,5,19,21,5,45,4,2,50,1,25,32,188,95,7,1,3,1,3,30,4
31,Jared Stroud,8,us USA,RW,27-075,57,21,0,4,8,10,3,21,2,0,0,2,100,12,86,46,2,0,1,3,0,11,1
31,Klauss,9,br BRA,FW,26-206,33,18,4,4,6,8,2,18,0,0,0,0,0,7,42,24,1,1,0,1,0,11,2
31,Tomas Ostrak,7,cz CZE,AM,23-230,58,26,0,2,14,11,2,26,2,0,0,1,50,21,131,78,3,2,1,2,1,19,4
31,Aziel Jackson,25,fr FRA,RW,21-334,32,20,1,1,6,13,5,20,4,3,75,1,25,13,99,46,1,0,1,1,0,14,3
31,Indiana Vassilev,19,us USA,DM,22-219,57,38,3,8,23,8,0,38,1,0,0,1,100,23,169,78,2,1,0,1,0,22,3
31,Eduard Lowen,10,de GER,DM,26-238,33,27,2,6,13,8,0,27,1,1,100,0,0,13,72,37,1,0,0,2,1,16,0
31,Njabulo Blom,6,za RSA,DM,23-286,90,42,5,9,25,8,2,42,0,0,0,0,0,23,91,40,0,1,0,2,0,22,1
31,Kyle Hiebert,22,ca CAN,"LB,CB",26-055,90,63,12,34,24,6,1,63,0,0,0,0,0,19,85,43,1,0,0,1,0,23,0
31,Jon Bell,23,us USA,CB,26-028,73,42,6,25,16,1,1,42,0,0,0,0,0,22,58,19,0,0,0,1,0,25,0
31,Anthony Markanich,13,us USA,LB,23-271,17,8,0,4,1,3,1,8,0,0,0,0,0,5,44,16,1,0,1,1,0,3,1
31,Joshua Yaro,15,gh GHA,CB,28-309,90,45,12,37,8,0,0,45,0,0,0,0,0,17,70,30,0,0,0,0,1,20,0
31,Jake Nerwinski,2,us USA,RB,28-341,90,43,6,18,19,6,0,43,0,0,0,0,0,13,54,31,0,0,0,2,0,15,1
31,Roman Burki,1,ch SUI,GK,32-313,90,50,34,50,0,0,0,50,0,0,0,0,0,25,141,94,0,0,0,0,0,19,0
