Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
17,Nicholas Gioacchini,11,us USA,FW,22-327,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Rasmus Alm,21,se SWE,FW,27-304,79,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
17,Isak Jensen,30,dk DEN,FW,19-176,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Tomas Ostrak,7,cz CZE,AM,23-132,71,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,Akil Watts,20,us USA,RB,23-133,19,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0
17,Jared Stroud,8,us USA,LM,26-342,79,2,1,0,2,0,1,2,50,1,2,0,2,0,2,0,0
17,Célio Pompeu,12,br BRA,LM,23-189,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Indiana Vassilev,19,us USA,RM,22-121,79,1,0,0,1,0,0,2,0,2,1,0,1,1,2,0,0
17,Aziel Jackson,25,fr FRA,RM,21-236,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Miguel Perez,28,us USA,DM,18-050,90,2,1,1,0,1,1,1,100,0,0,0,0,0,2,1,0
17,Kyle Hiebert,22,ca CAN,"LB,RB",25-322,67,4,3,0,2,2,3,4,75,1,0,0,0,2,6,2,0
17,Tim Parker,26,us USA,CB,30-114,90,1,0,0,1,0,1,2,50,1,1,1,0,1,2,5,0
17,Lucas Bartlett,24,us USA,CB,25-326,90,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0
17,Jake Nerwinski,2,us USA,RB,28-243,45,1,1,0,1,0,1,1,100,0,0,0,0,1,2,0,1
17,John Nelson,14,us USA,LB,24-341,45,2,1,1,1,0,0,1,0,1,0,0,0,1,3,1,0
17,Roman Burki,1,ch SUI,GK,32-215,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
