Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
17,Nicholas Gioacchini,11,us USA,FW,22-327,90,13,19,68.4,191,20,8,11,72.7,2,4,50,2,2,100,0,0.2,0,2,0,1,0,1
17,Rasmus Alm,21,se SWE,FW,27-304,79,12,22,54.5,139,39,9,12,75,3,9,33.3,0,1,0,0,0,0,1,0,1,1,1
17,Isak Jensen,30,dk DEN,FW,19-176,11,4,5,80,49,12,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,Tomas Ostrak,7,cz CZE,AM,23-132,71,9,13,69.2,150,54,5,7,71.4,3,5,60,1,1,100,0,0,0,1,1,0,0,2
17,Akil Watts,20,us USA,RB,23-133,19,9,11,81.8,111,42,5,6,83.3,3,3,100,0,0,0,0,0,0,0,3,0,0,2
17,Jared Stroud,8,us USA,LM,26-342,79,16,24,66.7,293,112,6,8,75,9,13,69.2,1,2,50,0,0,0,1,3,2,1,2
17,Celio Pompeu,12,br BRA,LM,23-189,11,3,5,60,48,19,2,2,100,1,2,50,0,1,0,0,0,0,0,1,0,0,0
17,Indiana Vassilev,19,us USA,RM,22-121,79,29,33,87.9,602,226,9,9,100,15,16,93.8,5,8,62.5,0,0.3,0.3,3,0,2,1,5
17,Aziel Jackson,25,fr FRA,RM,21-236,11,10,10,100,185,31,4,4,100,5,5,100,1,1,100,0,0,0,0,1,0,0,1
17,Miguel Perez,28,us USA,DM,18-050,90,26,36,72.2,435,133,11,17,64.7,14,17,82.4,1,1,100,0,0,0,0,3,0,0,3
17,Kyle Hiebert,22,ca CAN,"LB,RB",25-322,67,20,28,71.4,371,187,7,9,77.8,10,15,66.7,2,3,66.7,0,0,0,0,4,1,1,6
17,Tim Parker,26,us USA,CB,30-114,90,36,44,81.8,685,257,10,11,90.9,25,28,89.3,1,5,20,0,0,0,0,5,0,0,3
17,Lucas Bartlett,24,us USA,CB,25-326,90,42,52,80.8,898,406,11,13,84.6,24,28,85.7,7,11,63.6,0,0,0,0,7,2,0,4
17,Jake Nerwinski,2,us USA,RB,28-243,45,22,34,64.7,427,235,10,11,90.9,9,15,60,3,7,42.9,0,0.1,0.1,2,5,1,0,5
17,John Nelson,14,us USA,LB,24-341,45,26,34,76.5,414,197,14,15,93.3,11,16,68.8,1,3,33.3,0,0.1,0.1,1,3,1,1,2
17,Roman Burki,1,ch SUI,GK,32-215,90,24,37,64.9,738,570,2,2,100,11,11,100,11,24,45.8,0,0,0,0,1,0,0,0
