Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
17,Nicholas Gioacchini,11,us USA,FW,22-327,90,30,0,0,9,21,9,30,2,0,0,1,50,16,66,8,0,0,1,2,2,26,5
17,Rasmus Alm,21,se SWE,FW,27-304,79,25,0,1,3,22,1,25,0,0,0,0,0,14,38,19,0,1,0,0,0,19,4
17,Isak Jensen,30,dk DEN,FW,19-176,11,6,0,0,2,4,1,6,0,0,0,0,0,4,27,20,1,0,0,0,1,5,2
17,Tomas Ostrak,7,cz CZE,AM,23-132,71,18,0,0,6,12,4,18,1,1,100,0,0,17,118,49,4,0,2,0,1,18,6
17,Akil Watts,20,us USA,RB,23-133,19,14,0,0,11,4,0,14,0,0,0,0,0,4,16,8,0,2,0,0,2,5,0
17,Jared Stroud,8,us USA,LM,26-342,79,35,0,2,15,18,1,35,0,0,0,0,0,23,172,82,5,1,0,2,0,22,4
17,Celio Pompeu,12,br BRA,LM,23-189,11,8,0,0,5,3,0,8,1,0,0,1,100,5,21,2,0,0,0,2,0,6,1
17,Indiana Vassilev,19,us USA,RM,22-121,79,43,0,3,22,18,0,43,3,1,33.3,2,66.7,22,183,99,2,1,0,0,1,26,3
17,Aziel Jackson,25,fr FRA,RM,21-236,11,10,1,1,5,4,0,10,0,0,0,0,0,9,76,11,0,1,0,0,1,10,2
17,Miguel Perez,28,us USA,DM,18-050,90,43,1,4,30,9,0,43,1,0,0,0,0,22,104,57,0,0,0,3,1,28,3
17,Kyle Hiebert,22,ca CAN,"LB,RB",25-322,67,39,1,3,22,14,2,39,0,0,0,0,0,14,77,31,1,1,0,3,0,17,5
17,Tim Parker,26,us USA,CB,30-114,90,56,3,22,33,2,1,56,0,0,0,0,0,21,135,68,0,0,0,0,0,24,0
17,Lucas Bartlett,24,us USA,CB,25-326,90,61,2,20,38,3,1,61,2,1,50,1,50,33,234,114,1,0,0,1,0,32,1
17,Jake Nerwinski,2,us USA,RB,28-243,45,38,2,8,19,12,0,38,0,0,0,0,0,20,169,129,3,1,0,2,0,20,1
17,John Nelson,14,us USA,LB,24-341,45,38,2,6,18,14,0,38,0,0,0,0,0,22,168,136,4,3,0,0,0,24,2
17,Roman Burki,1,ch SUI,GK,32-215,90,39,28,39,0,0,0,39,0,0,0,0,0,24,175,77,0,0,0,0,0,15,0
