Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
25,Samuel Adeniran,16,us USA,FW,24-330,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Klauss,9,br BRA,FW,26-178,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Nicholas Gioacchini,11,us USA,FW,23-032,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,Nokkvi Thorisson,29,is ISL,FW,24-013,45,2,1,0,1,1,1,3,33.3,2,1,0,1,0,2,1,0
25,Aziel Jackson,25,fr FRA,AM,21-306,77,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,0
25,Rasmus Alm,21,se SWE,AM,28-009,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Eduard Lowen,10,de GER,LM,26-210,90,3,2,2,1,0,1,1,100,0,2,0,2,0,3,1,0
25,Indiana Vassilev,19,us USA,RM,22-191,90,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
25,Akil Watts,20,us USA,DM,23-203,71,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
25,Jared Stroud,8,us USA,DM,27-047,19,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0
25,Kyle Hiebert,22,ca CAN,"LB,CB",26-027,90,2,1,1,1,0,1,2,50,1,2,1,1,0,2,1,0
25,Joakim Nilsson,4,se SWE,CB,29-201,71,4,3,2,2,0,3,3,100,0,0,0,0,2,6,2,0
25,Anthony Markanich,13,us USA,LB,23-243,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
25,Joshua Yaro,15,gh GHA,CB,28-281,90,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0
25,Jake Nerwinski,2,us USA,RB,28-313,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
25,Roman Burki,1,ch SUI,GK,32-285,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
