Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
25,Samuel Adeniran,16,us USA,FW,24-330,77,5,8,62.5,69,15,4,5,80,1,2,50,0,1,0,0,0,0,0,0,1,0,1
25,Klauss,9,br BRA,FW,26-178,13,4,7,57.1,74,7,1,2,50,3,3,100,0,0,0,0,0,0,0,1,0,0,1
25,Nicholas Gioacchini,11,us USA,FW,23-032,45,8,11,72.7,93,20,5,7,71.4,2,3,66.7,0,0,0,0,0,0,1,0,0,0,1
25,Nokkvi Thorisson,29,is ISL,FW,24-013,45,9,12,75,130,3,6,7,85.7,3,3,100,0,1,0,0,0,0,0,0,0,0,0
25,Aziel Jackson,25,fr FRA,AM,21-306,77,15,21,71.4,239,62,8,9,88.9,4,6,66.7,2,5,40,0,0,0.1,0,3,1,0,3
25,Rasmus Alm,21,se SWE,AM,28-009,13,1,1,100,11,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Eduard Lowen,10,de GER,LM,26-210,90,30,49,61.2,551,298,17,22,77.3,9,13,69.2,4,12,33.3,0,0.2,0.3,3,6,2,0,3
25,Indiana Vassilev,19,us USA,RM,22-191,90,27,31,87.1,546,90,11,12,91.7,13,13,100,3,6,50,0,0,0,1,2,0,0,3
25,Akil Watts,20,us USA,DM,23-203,71,29,34,85.3,436,125,17,18,94.4,10,12,83.3,2,4,50,0,0,0,0,4,0,0,3
25,Jared Stroud,8,us USA,DM,27-047,19,1,4,25,13,0,1,1,100,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,Kyle Hiebert,22,ca CAN,"LB,CB",26-027,90,29,40,72.5,453,175,16,18,88.9,12,16,75,1,4,25,0,0,0,0,3,0,0,3
25,Joakim Nilsson,4,se SWE,CB,29-201,71,25,27,92.6,434,188,11,11,100,12,14,85.7,2,2,100,0,0,0,0,0,0,0,1
25,Anthony Markanich,13,us USA,LB,23-243,19,6,12,50,97,38,3,7,42.9,3,4,75,0,1,0,0,0,0,0,2,0,0,0
25,Joshua Yaro,15,gh GHA,CB,28-281,90,28,31,90.3,504,148,9,10,90,16,18,88.9,2,2,100,0,0,0,0,0,0,0,0
25,Jake Nerwinski,2,us USA,RB,28-313,89,29,42,69,524,333,15,16,93.8,10,15,66.7,4,10,40,0,0,0,0,4,0,0,3
25,Roman Burki,1,ch SUI,GK,32-285,90,30,41,73.2,906,667,3,3,100,14,14,100,12,23,52.2,0,0,0,0,2,0,0,0
